ID,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,label
0,5700,6000,6814,5500,5800,5700,0,
1,2159,1500,1000,1000,3800,0,1,
2,6112,4202,4200,4200,5000,4200,0,
3,1104,81970,3261,1886,3035,2068,0,
4,5700,0,4500,45500,0,5400,1,
5,2500,3000,2244,2478,4800,0,0,
6,180000,17000,12638,12058,11101,9567,0,
7,1300,2180,0,1818,1000,680,0,
8,2000,300,200,0,0,0,1,
9,2000,2000,2000,1000,40002,2009,0,
10,2690,2359,293,304,306,316,1,
11,3925,3683,2947,1253,1297,1305,0,
12,390,390,390,780,0,390,1,
13,4969,6802,11523,14,5914,7622,0,
14,1880,3819,2073,5264,2571,53860,0,
15,0,0,0,0,0,0,0,
16,1985,2316,1850,1500,1200,5196,0,
17,203,0,0,7856,10000,865,0,
18,6370,2342,810,10253,1000,7079,0,
19,3109,1369,3002,3005,1505,2000,0,
20,6222,7174,4200,2400,2400,2500,0,
21,8000,6000,7000,0,7500,6000,1,
22,3300,0,6500,0,3000,3000,0,
23,6000,0,0,0,0,0,0,
24,500,320,900,400,120,400,0,
25,0,1000,0,2000,0,817,1,
26,0,6462,0,2746,11613,11753,0,
27,20000,0,5000,6000,8000,5000,0,
28,2179,2191,1525,18236,1500,2000,0,
29,70005,10051,6119,7303,15090,10191,0,
30,6000,0,8023,0,5700,0,0,
31,17410,32077,32579,18914,17069,16738,0,
32,0,0,2032,1069,1066,1002,1,
33,11500,12000,10000,10500,10000,10000,1,
34,0,5365,1000,1000,2000,2000,0,
35,1300,1400,1300,700,700,1000,0,
36,0,1828,1900,1900,2000,4300,1,
37,0,970,0,0,2184,1140,0,
38,0,0,0,0,0,0,1,
39,1500,1000,20000,0,390,0,0,
40,13200,13006,11500,9000,10000,8000,1,
41,0,390,390,780,0,0,0,
42,2600,2100,2000,2000,1500,1000,0,
43,499,350,2277,41523,2175,6351,1,
44,3500,4000,3002,1974,2000,5000,0,
45,10541,7600,3049,1138,3414,24952,1,
46,1611,1625,1371,1444,1765,1283,1,
47,1541,4,3071,17557,1144,1252,0,
48,0,0,0,0,0,0,1,
49,2523,2155,45088,1722,1523,2000,0,
50,0,1200,406,0,0,0,1,
51,0,0,0,354,1000,1000,0,
52,4000,3000,4000,7000,0,4000,0,
53,11,3500,0,1033,1502,2002,1,
54,1757,79786,2836,3657,2972,6228,0,
55,2500,3000,1000,0,0,0,0,
56,8000,157500,0,5759,5775,6407,0,
57,7000,10500,0,5000,11000,4500,1,
58,15000,20000,15305,10070,15037,10052,0,
59,0,3968,0,0,0,0,0,
60,1266,3347,0,173,176,180,1,
61,0,0,0,1830,0,0,1,
62,8000,0,20000,5000,33920,0,0,
63,5000,0,0,2522,94,111,0,
64,24255,7862,7146,0,0,32000,0,
65,1120,1024,362,0,488,300,1,
66,15954,1677,315,3042,374,4500,0,
67,11,2505,2000,3000,1203,500,1,
68,2406,2000,462,736,0,147,0,
69,1816,1816,1806,774,3368,1027,0,
70,1500,1500,1000,0,0,0,1,
