ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE
0,220000,2,2,1,34,
1,30000,1,2,1,33,
2,190000,1,1,2,33,
3,360000,1,1,2,35,
4,150000,1,1,1,41,
5,80000,1,1,2,36,
6,480000,2,2,2,39,
7,20000,2,1,2,23,
8,50000,2,1,2,22,
9,80000,2,2,2,23,
10,50000,1,2,2,25,
11,2,2,5,1,42,
12,50000,1,2,2,24,
13,5,1,1,1,45,
14,340000,2,3,2,57,
15,370000,1,1,1,41,
16,50000,2,2,2,24,
17,1,2,3,2,46,
18,2,2,1,1,30,
19,280000,2,1,2,29,
20,350000,1,3,1,35,
21,2,1,1,1,34,
22,140000,1,3,2,30,
23,130000,1,2,2,42,
24,80000,2,1,2,24,
25,20000,1,2,2,27,
26,210000,2,2,1,29,
27,220000,2,1,1,36,
28,110000,1,1,2,26,
29,5,2,1,2,25,
30,150000,2,2,2,30,
31,5,1,1,1,44,
32,70000,2,2,2,25,
33,3,2,1,2,48,
34,310000,2,2,1,37,
35,20000,2,1,2,23,
36,80000,2,2,2,25,
37,290000,2,1,1,41,
38,180000,1,1,1,45,
39,20000,1,2,3,40,
40,320000,1,2,1,37,
41,20000,1,2,2,24,
42,110000,1,2,2,31,
43,470000,2,1,2,30,
44,90000,2,3,1,29,
45,360000,1,2,1,58,
46,40000,1,3,1,43,
47,2,2,2,1,30,
48,260000,1,1,1,38,
49,60000,2,4,2,23,
50,20000,1,2,2,30,
51,50000,1,2,2,37,
52,140000,2,2,1,30,
53,80000,1,2,1,37,
54,90000,1,2,1,41,
55,20000,2,2,1,45,
56,240000,1,3,1,33,
57,170000,2,2,1,39,
58,440000,2,2,2,28,
59,280000,2,1,2,39,
60,80000,2,1,2,24,
61,2,2,1,1,42,
62,3,2,3,2,34,
63,90000,2,2,2,23,
64,210000,2,1,2,42,
65,2,2,1,1,34,
66,2,1,1,2,28,
67,20000,1,2,1,45,
68,50000,2,1,2,28,
69,230000,1,1,2,27,
70,20000,2,2,1,37,
71,20000,2,5,2,23,
72,360000,1,3,2,33,
73,260000,2,1,2,36,
74,10000,2,1,2,24,
75,150000,2,2,2,26,
76,30000,2,2,2,44,
77,20000,2,1,2,25,
78,230000,2,3,1,47,
79,50000,1,1,1,40,
80,30000,1,2,2,29,
81,120000,1,2,2,25,
82,360000,2,2,1,42,
83,2,2,3,1,50,
84,10000,2,1,2,22,
85,140000,1,1,2,29,
86,50000,2,2,2,22,
87,360000,2,1,1,43,
88,70000,1,2,2,51,
89,50000,2,2,2,25,
90,50000,2,3,2,48,
91,50000,2,2,2,24,
92,110000,1,3,2,24,
93,120000,1,1,2,27,
94,50000,1,1,2,57,
95,80000,2,2,2,34,
96,30000,2,2,3,22,
97,130000,1,3,2,56,
98,1,2,2,2,35,
99,310000,2,1,1,41,
100,180000,2,2,1,37,
101,240000,2,1,2,46,
102,320000,2,2,1,29,
103,20000,2,1,2,25,
104,2,2,2,1,46,
105,30000,2,2,1,41,
106,20000,2,1,2,25,
107,210000,1,3,2,46,
108,260000,2,1,1,38,
109,70000,2,1,2,24,
110,60000,1,2,2,27,
111,80000,2,2,2,23,
112,30000,2,2,2,22,
113,50000,1,2,2,25,
114,50000,2,2,1,29,
115,120000,2,2,1,30,
116,50000,1,3,1,42,
117,80000,1,1,2,25,
118,30000,1,2,1,54,
119,110000,2,2,2,24,
120,320000,1,2,1,46,
121,340000,2,2,2,32,
122,130000,2,3,2,36,
123,360000,1,1,2,34,
124,160000,2,2,2,32,
125,50000,1,2,2,38,
126,50000,2,2,1,41,
127,60000,1,1,2,31,
128,30000,1,2,1,35,
129,260000,1,1,2,29,
130,2,1,2,1,32,
131,280000,1,2,1,38,
132,20000,2,3,2,48,
133,230000,2,1,2,33,
134,280000,2,2,1,44,
135,50000,2,1,2,27,
136,160000,2,2,1,33,
137,170000,2,1,1,33,
138,3,2,3,1,36,
139,80000,1,3,1,37,
140,20000,2,3,2,49,
141,20000,1,2,2,29,
142,10000,1,2,3,28,
143,20000,1,3,1,51,
144,150000,2,1,1,37,
145,150000,2,1,1,43,
146,80000,1,2,1,37,
147,2,1,1,2,26,
148,80000,2,2,1,44,
149,2,1,1,2,29,
150,280000,1,1,2,31,
151,160000,1,4,2,26,
152,80000,2,3,2,34,
153,30000,1,2,2,38,
154,4,2,1,2,28,
155,110000,2,1,2,31,
156,70000,1,1,1,39,
157,180000,2,2,1,30,
158,170000,2,1,1,31,
159,150000,1,3,1,42,
160,2,2,2,2,24,
161,50000,2,3,1,51,
162,50000,1,3,1,24,
163,310000,1,1,2,33,
164,310000,2,2,2,31,
165,280000,2,1,1,39,
166,130000,2,3,1,44,
167,1,2,2,1,38,
168,340000,2,1,2,35,
169,50000,1,2,1,58,
170,50000,1,3,1,47,
171,1,2,3,1,29,
172,260000,2,3,1,42,
173,2,2,3,1,30,
174,170000,2,1,2,26,
175,360000,1,2,2,26,
176,410000,2,2,1,41,
177,150000,2,2,2,30,
178,360000,1,1,1,41,
179,30000,1,2,1,32,
180,130000,2,2,2,23,
181,490000,2,2,1,30,
182,1,2,2,1,39,
183,5,2,1,2,30,
184,30000,2,2,2,29,
185,150000,1,1,1,31,
186,80000,1,3,2,23,
187,20000,1,3,1,30,
188,110000,2,1,2,29,
189,3,2,3,1,39,
190,110000,1,2,2,38,
191,5,2,1,1,45,
192,70000,2,3,1,48,
193,610000,2,1,2,38,
194,20000,2,2,3,46,
195,50000,2,1,2,29,
196,210000,2,1,2,31,
197,30000,2,2,1,36,
198,120000,2,1,2,30,
199,230000,2,1,1,39,
200,20000,1,3,1,60,
201,240000,2,3,1,24,
202,60000,1,1,2,29,
203,50000,1,2,2,58,
204,120000,1,1,1,51,
205,50000,1,1,2,24,
206,60000,2,2,2,29,
207,20000,1,2,2,52,
208,350000,2,1,1,40,
209,160000,2,3,1,28,
210,360000,2,2,2,31,
211,3,1,1,2,27,
212,170000,1,2,1,35,
213,30000,2,6,1,59,
214,210000,2,2,2,29,
215,50000,2,3,1,26,
216,70000,2,3,1,31,
217,230000,2,2,1,30,
218,30000,1,3,1,36,
219,210000,2,1,1,34,
220,290000,2,3,1,46,
221,140000,2,2,1,37,
222,20000,1,2,2,44,
223,360000,1,1,1,44,
224,340000,1,1,2,32,
225,50000,1,1,1,58,
226,1,2,1,2,23,
227,510000,2,1,2,29,
228,60000,2,1,2,46,
229,360000,1,1,1,47,
230,70000,2,3,1,49,
231,80000,1,3,2,26,
232,470000,1,1,2,27,
233,50000,2,3,2,30,
234,20000,1,3,2,55,
235,220000,1,2,2,31,
236,180000,2,1,2,46,
237,150000,2,1,2,33,
238,50000,1,2,1,32,
239,50000,2,2,1,39,
240,180000,2,2,1,44,
241,50000,1,2,2,50,
242,230000,2,1,2,29,
243,210000,2,1,1,36,
244,30000,2,2,1,27,
245,50000,2,2,2,25,
246,30000,2,2,2,23,
247,130000,2,2,1,28,
248,140000,1,2,1,42,
249,3,1,1,2,34,
250,140000,2,3,2,26,
251,4,1,1,2,32,
252,180000,2,1,1,30,
253,210000,1,3,2,27,
254,240000,2,2,1,38,
255,330000,2,2,2,33,
256,20000,1,2,2,30,
257,130000,1,2,1,31,
258,2,2,3,1,44,
259,50000,2,2,2,23,
260,30000,1,3,1,49,
261,250000,2,1,1,31,
262,20000,1,3,2,45,
263,20000,1,2,2,27,
264,70000,2,3,1,56,
265,50000,2,3,1,24,
266,220000,2,2,1,34,
267,120000,1,2,1,27,
268,90000,1,1,1,34,
269,260000,2,3,1,41,
270,310000,1,1,1,39,
271,410000,1,1,2,27,
272,60000,2,2,2,25,
273,180000,2,2,1,48,
274,20000,1,3,2,48,
275,70000,2,3,2,38,
276,120000,2,5,1,41,
277,2,1,1,1,40,
278,4,2,2,1,29,
279,1,1,1,1,35,
280,280000,2,1,2,26,
281,30000,2,2,1,27,
282,290000,2,2,2,29,
283,190000,2,2,1,31,
284,5,2,2,2,23,
285,20000,1,2,2,25,
286,140000,2,2,2,27,
287,480000,1,2,1,40,
288,50000,2,2,1,37,
289,30000,2,3,2,38,
290,460000,2,2,2,35,
291,130000,2,2,2,42,
292,380000,1,2,1,43,
293,260000,2,2,2,28,
294,110000,1,2,2,27,
295,130000,2,2,2,23,
296,3,1,1,2,33,
297,270000,2,3,1,43,
298,320000,1,1,1,40,
299,80000,1,2,2,42,
300,190000,2,1,2,28,
301,110000,2,3,2,32,
302,70000,2,2,2,26,
303,90000,2,2,2,26,
304,280000,2,2,1,56,
305,80000,2,2,1,35,
306,1,2,1,2,28,
307,1,2,2,1,35,
308,50000,1,3,2,25,
309,30000,2,1,2,23,
310,280000,2,1,1,63,
311,80000,2,2,2,28,
312,3,2,1,2,28,
313,280000,1,1,1,42,
314,2,2,4,2,25,
315,4,1,2,2,29,
316,50000,1,2,2,30,
317,30000,2,2,2,27,
318,140000,2,2,1,40,
319,30000,1,2,2,49,
320,330000,2,1,2,24,
321,60000,1,1,1,51,
322,340000,2,2,2,38,
323,360000,1,1,1,32,
324,2,1,3,2,46,
325,70000,2,3,3,39,
326,50000,2,2,2,22,
327,30000,1,1,1,57,
328,30000,1,2,2,25,
329,360000,1,2,2,28,
330,110000,2,2,2,40,
331,30000,2,2,1,32,
332,20000,1,2,2,29,
333,20000,2,1,2,23,
334,1,1,1,2,29,
335,130000,2,3,3,43,
336,50000,1,2,1,39,
337,30000,1,3,1,47,
338,50000,2,2,2,37,
339,30000,2,2,1,27,
340,220000,2,2,1,48,
341,20000,1,2,2,26,
342,150000,2,2,2,29,
343,30000,2,2,1,27,
344,2,2,2,2,49,
345,5,1,1,1,32,
346,80000,2,3,1,50,
347,30000,2,2,2,21,
348,230000,1,1,2,35,
349,3,2,2,1,42,
350,160000,2,2,2,27,
351,50000,1,2,1,42,
352,20000,1,1,2,22,
353,80000,2,5,2,33,
354,2,2,1,1,32,
355,340000,2,2,2,27,
356,20000,1,3,2,50,
357,320000,2,2,2,35,
358,50000,2,1,2,27,
359,50000,2,2,2,23,
360,20000,1,2,1,61,
361,10000,2,1,2,24,
362,50000,2,1,2,25,
363,80000,1,2,2,27,
364,180000,1,3,1,37,
365,50000,2,3,1,39,
366,150000,2,1,2,25,
367,10000,1,3,1,35,
368,110000,1,1,2,30,
369,70000,2,2,1,29,
370,260000,2,1,2,36,
371,80000,1,1,2,38,
372,130000,1,1,2,30,
373,20000,1,3,1,36,
374,120000,1,1,2,30,
375,1,1,2,2,32,
376,160000,2,1,2,33,
377,270000,2,1,2,45,
378,20000,1,2,1,27,
379,50000,2,1,1,25,
380,50000,2,1,2,52,
381,50000,2,2,1,39,
382,230000,2,1,2,32,
383,180000,1,1,2,40,
384,230000,1,2,1,29,
385,380000,1,1,1,34,
386,5,1,1,2,29,
387,530000,1,2,1,54,
388,240000,1,1,2,27,
389,460000,1,1,2,34,
390,130000,2,1,2,30,
391,30000,1,3,1,45,
392,180000,2,1,2,29,
393,70000,2,3,1,33,
394,80000,2,3,2,24,
395,120000,2,1,1,38,
396,150000,2,1,2,40,
397,130000,2,2,2,22,
398,210000,1,2,1,38,
399,130000,2,2,1,30,
400,210000,2,1,1,46,
401,1,2,2,1,28,
402,80000,2,3,1,25,
403,3,1,1,2,27,
404,50000,1,1,2,25,
405,420000,1,2,2,39,
406,50000,2,2,2,25,
407,260000,1,1,1,59,
408,360000,1,3,2,54,
409,2,1,1,1,43,
410,30000,1,1,2,49,
411,110000,1,2,1,49,
412,20000,1,2,2,28,
413,360000,2,2,2,33,
414,20000,2,1,2,24,
415,280000,1,2,1,41,
416,340000,1,1,2,38,
417,180000,2,2,2,36,
418,170000,2,2,1,37,
419,490000,2,3,1,54,
420,170000,1,2,1,46,
421,2,2,1,2,32,
422,120000,2,3,1,48,
423,150000,2,2,1,30,
424,50000,2,2,2,37,
425,480000,1,3,2,53,
426,20000,2,2,2,23,
427,1,2,3,2,33,
428,80000,2,1,2,27,
429,240000,2,1,2,35,
430,80000,2,2,2,29,
431,390000,2,1,2,30,
432,20000,2,2,1,51,
433,2,1,2,2,29,
434,50000,2,2,2,48,
435,120000,2,2,2,27,
436,1,2,2,1,26,
437,310000,2,2,2,27,
438,160000,2,3,1,34,
439,2,2,3,2,63,
440,50000,2,2,1,36,
441,50000,2,2,1,31,
442,420000,1,1,2,34,
443,150000,2,2,2,26,
444,260000,1,2,1,43,
445,350000,1,1,2,52,
446,120000,1,2,2,29,
447,490000,2,1,2,29,
448,190000,2,1,2,31,
449,60000,1,2,1,36,
450,150000,2,1,1,34,
451,20000,1,2,2,27,
452,170000,2,2,1,50,
453,220000,2,1,0,33,
454,360000,2,2,1,37,
455,360000,1,2,2,29,
456,120000,2,2,1,42,
457,50000,1,2,2,26,
458,80000,1,2,2,28,
459,50000,1,2,2,51,
460,4,2,3,2,26,
461,450000,1,1,1,43,
462,3,2,2,1,36,
463,50000,1,1,3,37,
464,90000,1,2,1,41,
465,160000,2,2,1,58,
466,290000,1,1,1,41,
467,280000,1,2,1,37,
468,60000,1,3,2,24,
469,50000,1,3,2,23,
470,140000,1,1,1,40,
471,80000,1,2,2,25,
472,30000,2,1,2,23,
473,180000,1,3,1,54,
474,180000,2,2,2,39,
475,1,1,2,2,29,
476,130000,1,1,2,27,
477,50000,1,3,2,46,
478,150000,1,2,2,27,
479,2,2,1,2,31,
480,130000,2,2,1,23,
481,5,2,1,1,36,
482,340000,1,1,2,26,
483,50000,1,1,1,38,
484,130000,2,2,1,44,
485,240000,2,2,2,28,
486,170000,1,2,1,39,
487,10000,1,2,2,24,
488,50000,1,3,2,30,
489,70000,1,2,1,44,
490,60000,2,3,1,43,
491,120000,1,2,1,34,
492,120000,2,2,1,41,
493,5,2,2,2,48,
494,2,2,1,1,42,
495,50000,1,1,2,26,
496,80000,2,3,2,25,
497,90000,2,2,2,23,
498,5,2,2,2,43,
499,240000,2,5,1,44,
500,180000,2,2,1,24,
501,2,1,2,2,29,
502,290000,2,2,1,37,
503,5,2,2,2,31,
504,230000,1,2,1,45,
505,240000,1,1,2,41,
506,150000,2,1,2,27,
507,4,2,2,1,49,
508,80000,1,2,1,27,
509,340000,1,2,1,55,
510,380000,2,2,1,39,
511,20000,2,2,1,37,
512,20000,1,2,2,48,
513,80000,2,1,1,50,
514,70000,2,3,1,32,
515,130000,2,2,1,29,
516,330000,2,1,1,31,
517,250000,2,2,2,29,
518,4,2,1,1,29,
519,2,2,2,1,26,
520,20000,2,1,2,23,
521,360000,2,1,1,54,
522,110000,1,1,2,26,
523,2,2,1,2,34,
524,1,1,2,2,35,
525,30000,2,3,1,28,
526,220000,1,1,1,45,
527,30000,2,2,1,25,
528,20000,1,2,2,45,
529,270000,2,1,1,44,
530,240000,1,1,1,35,
531,410000,2,3,1,34,
532,50000,1,2,1,41,
533,140000,1,2,2,30,
534,360000,2,1,1,31,
535,4,2,1,2,32,
536,130000,1,2,2,29,
537,170000,1,1,1,34,
538,140000,2,1,2,40,
539,260000,2,2,2,30,
540,50000,2,3,2,23,
541,250000,1,1,2,31,
542,2,2,1,1,25,
543,80000,1,1,2,24,
544,210000,2,1,2,31,
545,210000,2,2,1,35,
546,50000,2,3,2,49,
547,2,2,3,2,42,
548,210000,2,2,2,24,
549,20000,1,2,1,37,
550,380000,1,1,2,42,
551,50000,2,1,2,25,
552,20000,1,3,2,52,
553,340000,1,2,1,40,
554,2,1,1,1,44,
555,130000,2,1,2,23,
556,270000,2,2,2,25,
557,110000,2,2,2,23,
558,310000,2,1,2,28,
559,330000,2,2,1,28,
560,310000,2,2,2,44,
561,150000,2,2,2,34,
562,160000,2,2,1,29,
563,70000,2,2,1,23,
564,50000,2,2,2,36,
565,80000,1,2,1,39,
566,240000,1,1,2,34,
567,240000,2,2,1,37,
568,230000,1,1,2,30,
569,4,2,2,2,25,
570,150000,2,5,1,53,
571,3,2,1,1,52,
572,360000,2,2,1,49,
573,130000,1,2,2,36,
574,280000,2,2,1,52,
575,120000,2,2,1,29,
576,3,2,2,2,26,
577,240000,2,1,2,28,
578,360000,1,3,1,32,
579,70000,2,2,2,22,
580,220000,1,2,1,36,
581,50000,1,3,2,43,
582,30000,2,1,2,26,
583,160000,2,1,2,29,
584,150000,2,3,1,48,
585,20000,1,3,2,22,
586,50000,1,2,2,40,
587,50000,1,6,1,45,
588,270000,1,2,1,44,
589,80000,1,2,1,52,
590,50000,1,3,2,32,
591,450000,2,3,1,56,
592,180000,1,1,2,31,
593,150000,2,3,2,39,
594,1,2,1,2,25,
595,60000,2,2,2,57,
596,230000,2,2,1,30,
597,140000,2,1,1,47,
598,90000,2,1,2,29,
599,2,2,1,2,33,
600,350000,1,2,1,47,
601,120000,2,1,1,50,
602,2,1,1,1,49,
603,610000,1,1,2,31,
604,160000,2,2,2,27,
605,170000,1,4,1,40,
606,230000,2,2,1,46,
607,290000,2,2,2,25,
608,3,1,1,1,55,
609,50000,2,3,1,25,
610,150000,2,1,2,33,
611,20000,2,2,2,25,
612,130000,2,2,1,35,
613,20000,2,2,2,21,
614,30000,1,2,1,42,
615,120000,1,1,1,50,
616,1,2,2,2,37,
617,2,2,1,2,30,
618,270000,1,2,2,44,
619,90000,1,2,2,27,
620,340000,2,2,2,39,
621,30000,2,1,2,30,
622,60000,2,2,1,36,
623,30000,2,1,2,24,
624,230000,2,4,2,34,
625,40000,2,2,2,33,
626,2,1,3,1,46,
627,1,1,3,1,35,
628,3,2,2,1,35,
629,50000,2,2,2,23,
630,210000,1,1,2,28,
631,230000,1,5,1,42,
632,90000,1,2,2,33,
633,360000,1,3,1,32,
634,50000,2,1,2,36,
635,2,2,2,1,51,
636,40000,2,2,1,23,
637,310000,1,1,1,41,
638,50000,2,2,2,48,
639,330000,2,1,2,31,
640,80000,2,2,1,25,
641,30000,2,3,2,45,
642,160000,2,3,1,58,
643,220000,1,2,1,49,
644,60000,2,1,2,25,
645,50000,1,2,2,29,
646,220000,2,1,1,41,
647,2,2,2,1,42,
648,70000,2,2,1,26,
649,210000,2,1,2,30,
650,50000,2,1,2,25,
651,220000,2,2,1,33,
652,10000,1,1,2,23,
653,50000,2,2,2,23,
654,360000,1,2,2,28,
655,5,2,1,1,41,
656,1,2,2,1,33,
657,90000,2,2,1,36,
658,150000,2,2,2,29,
659,190000,2,2,1,35,
660,3,2,1,2,30,
661,240000,2,3,1,50,
662,340000,2,3,1,44,
663,50000,1,3,2,29,
664,1,2,3,0,56,
665,1,2,2,1,44,
666,5,1,1,1,37,
667,110000,1,3,2,40,
668,2,1,2,2,34,
669,2,2,1,1,34,
670,60000,2,2,1,38,
671,210000,2,2,1,29,
672,10000,1,2,2,22,
673,2,1,3,1,49,
674,80000,1,2,1,31,
675,60000,1,2,1,32,
676,80000,2,6,2,25,
677,180000,2,4,2,29,
678,80000,2,1,2,33,
679,60000,2,2,2,29,
680,5,1,2,1,38,
681,50000,2,3,3,46,
682,180000,2,1,2,33,
683,60000,1,2,1,45,
684,2,1,2,1,40,
685,120000,1,2,1,38,
686,50000,1,2,2,26,
687,240000,2,1,2,27,
688,50000,2,2,1,45,
689,170000,2,3,2,29,
690,20000,1,2,2,25,
691,30000,2,1,2,27,
692,230000,2,2,1,56,
693,230000,1,3,1,39,
694,450000,2,1,1,33,
695,440000,2,3,1,40,
696,120000,2,1,2,36,
697,50000,2,2,1,35,
698,50000,2,2,1,30,
699,70000,2,4,1,24,
700,50000,2,2,2,23,
701,110000,1,2,1,45,
702,140000,1,2,2,26,
703,210000,2,2,1,34,
704,50000,1,3,1,41,
705,5,1,1,2,30,
706,230000,2,1,1,42,
707,90000,1,1,2,29,
708,160000,1,2,1,33,
709,170000,2,1,2,27,
710,80000,2,2,1,42,
711,40000,2,5,1,48,
712,50000,2,2,1,28,
713,120000,1,3,2,50,
714,230000,1,1,2,34,
715,150000,2,1,2,27,
716,180000,2,2,1,35,
717,2,2,2,2,33,
718,90000,2,2,1,28,
719,30000,1,2,2,25,
720,160000,1,2,1,50,
721,30000,2,3,2,26,
722,5,2,2,1,52,
723,90000,2,1,2,31,
724,530000,2,1,1,54,
725,170000,1,2,2,26,
726,150000,2,2,2,28,
727,90000,1,2,1,48,
728,310000,2,1,2,36,
729,150000,2,4,1,36,
730,1,2,3,1,46,
731,350000,1,1,1,55,
732,180000,1,1,2,31,
733,20000,1,3,1,28,
734,4,2,2,2,26,
735,180000,2,2,1,39,
736,120000,2,2,2,23,
737,50000,2,2,1,36,
738,3,2,2,2,30,
739,2,1,2,2,37,
740,20000,1,2,2,39,
741,140000,1,2,1,36,
