ID,PAY_1,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6
0,0,0,0,0,0,0,
1,2,2,0,0,0,0,
2,0,0,0,0,0,0,
3,0,0,0,0,0,0,
4,3,2,2,0,0,2,
5,0,0,0,0,0,0,
6,0,0,0,0,0,0,
7,0,0,0,2,0,0,
8,2,2,2,0,0,0,
9,0,0,0,0,0,0,
10,2,0,0,0,0,0,
11,0,0,0,0,0,0,
12,-1,-1,-1,-1,-1,0,
13,-1,-1,-1,-1,0,-1,
14,0,0,0,0,0,0,
15,1,-2,-2,-2,-2,-2,
16,0,0,0,0,0,0,
17,1,-1,2,2,-1,0,
18,-2,-2,-2,-2,-2,-2,
19,0,0,0,0,0,0,
20,0,0,0,0,0,0,
21,2,2,2,2,2,2,
22,1,3,2,2,2,0,
23,0,0,0,-2,-2,-2,
24,-1,-1,-1,-1,-1,-1,
25,1,3,2,2,2,2,
26,-2,-2,-2,-2,-2,-2,
27,0,0,2,0,0,0,
28,0,0,0,0,0,0,
29,-1,0,0,0,0,0,
30,0,0,2,2,2,2,
31,-1,-1,-1,-1,-1,-1,
32,4,3,2,0,0,0,
33,2,0,0,0,0,0,
34,-2,-2,-1,0,0,0,
35,0,0,0,0,0,0,
36,1,2,0,0,0,0,
37,-1,-1,-1,-1,-2,-1,
38,1,-2,-2,-2,-2,-2,
39,0,0,0,-1,-1,-1,
40,0,0,0,0,0,0,
41,-1,-1,-1,-1,-1,-1,
42,0,0,0,0,0,0,
43,-2,-1,-1,-2,-1,-1,
44,0,0,0,0,0,0,
45,-1,-1,-1,-1,-2,-1,
46,0,0,0,0,0,0,
47,-2,-1,2,-1,-1,-2,
48,3,2,2,-2,-2,-2,
49,0,0,0,0,0,0,
50,1,2,0,0,0,-2,
51,5,4,3,2,0,0,
52,0,0,0,0,0,2,
53,2,2,2,2,0,0,
54,0,0,-1,0,0,0,
55,0,0,0,0,0,-2,
56,0,0,0,2,0,0,
57,0,0,0,2,0,0,
58,0,0,0,0,0,0,
59,-1,-1,-1,0,0,-2,
60,0,0,0,2,0,0,
61,-2,-2,-2,-2,-1,-1,
62,-1,-1,2,0,0,-1,
63,0,0,0,-2,-1,0,
64,-1,-1,-1,-1,-1,-2,
65,-1,0,0,-1,0,-1,
66,-2,-2,-2,-2,-2,-2,
67,2,2,0,0,0,0,
68,0,0,0,0,0,2,
69,-1,-1,-1,-1,-1,-1,
70,0,0,0,0,0,-2,
71,0,0,0,0,0,-2,
72,-2,-2,-2,-2,-2,-2,
73,1,-2,-2,-2,-2,-2,
74,2,0,0,2,2,2,
75,-2,-2,-2,-2,-2,-2,
76,-2,-2,-2,-2,-2,-2,
77,-1,-1,-1,-1,-1,-2,
78,-1,-1,-1,-1,-1,-1,
79,1,-2,-2,-2,-2,-2,
80,-1,-1,-1,-1,0,-1,
81,0,0,2,0,0,0,
82,0,0,0,0,0,0,
83,-1,-1,-1,-1,-1,-1,
84,0,0,0,0,0,-2,
85,1,-2,-2,-2,-2,-2,
86,-2,-2,-2,-2,-2,-2,
87,1,-2,-2,-2,-2,-2,
88,0,0,0,0,0,0,
89,0,0,0,0,0,0,
90,0,-1,-1,-1,-1,0,
91,0,0,0,0,0,0,
92,0,0,0,0,0,0,
93,0,0,0,0,0,0,
94,0,0,0,0,0,0,
95,1,-1,-1,-2,-2,-2,
96,0,-1,0,0,0,0,
97,0,0,0,0,0,0,
98,-1,-1,-1,-1,-1,0,
99,0,0,0,0,0,0,
100,0,0,0,0,0,0,
101,2,2,-2,-1,0,-1,
102,0,0,0,0,0,0,
103,-1,0,0,2,0,0,
104,0,0,0,0,0,0,
105,0,0,0,0,0,0,
106,0,0,0,0,0,0,
107,0,0,0,0,0,0,
108,-2,-1,-1,-2,-2,-2,
109,2,2,2,0,0,0,
110,0,0,0,0,2,0,
111,0,0,0,0,0,0,
112,0,-1,-1,0,0,-1,
113,0,0,0,0,0,0,
114,0,0,0,0,0,0,
115,0,0,0,0,0,0,
116,2,0,0,2,0,0,
117,0,0,0,0,0,0,
118,0,0,0,0,3,2,
119,-1,0,0,0,0,0,
120,0,0,0,0,0,0,
121,0,0,0,0,0,0,
122,1,-2,-2,-2,-2,-2,
123,2,2,-2,-2,-2,-2,
124,0,0,0,0,0,0,
125,0,0,0,0,0,0,
126,2,0,0,0,-1,0,
127,1,-1,0,0,0,0,
128,1,-2,-2,-1,3,2,
129,0,0,0,0,0,0,
130,-1,-1,-1,-1,-1,-1,
131,-1,-1,-2,-2,-2,-2,
132,0,0,0,0,0,0,
133,0,0,0,0,0,0,
134,-1,-1,-1,-1,-1,-1,
135,0,0,0,0,-2,-2,
136,-1,-1,-1,-1,-1,-1,
137,0,0,0,0,0,0,
138,-2,-2,-2,-2,-2,-2,
139,0,0,0,0,0,0,
140,0,0,2,0,-1,-1,
141,0,0,0,0,0,0,
142,0,0,0,0,0,0,
143,2,0,0,0,0,0,
144,0,0,-1,-1,-1,-2,
145,-1,-1,-1,-1,-1,-1,
146,2,2,2,2,2,2,
147,-2,-2,-2,-2,-2,-2,
148,-1,0,-1,-1,-1,-1,
149,-2,-1,-1,-1,-1,-1,
150,1,-2,-1,0,-1,-1,
151,0,0,0,0,0,0,
152,1,-2,-2,-2,-2,-2,
153,0,0,0,0,0,0,
154,-1,-1,-1,0,-1,-1,
155,2,2,2,2,2,2,
156,0,0,0,0,0,0,
157,0,0,0,0,-1,-1,
158,1,-2,-2,-2,-2,-2,
159,0,0,0,0,0,0,
160,0,0,0,0,0,0,
161,0,0,0,0,0,0,
162,0,0,0,0,0,0,
163,0,0,2,0,0,0,
164,2,0,0,0,2,2,
165,-2,-2,-2,-2,-2,-2,
166,-1,-1,-1,-1,-1,-1,
167,2,2,2,2,0,0,
168,-1,-1,-1,-1,-1,-1,
169,-1,-1,-1,-1,-1,-1,
170,0,0,0,0,0,0,
171,4,3,2,0,0,-1,
172,0,0,0,0,0,0,
173,2,2,2,2,2,2,
174,0,0,0,0,0,0,
175,0,0,0,0,0,0,
176,2,0,0,0,0,0,
177,-1,0,0,0,0,0,
178,-2,-2,-2,-2,-2,-2,
179,-2,-2,-2,-2,-2,-2,
180,-1,0,-1,-1,-1,-1,
181,0,0,0,0,0,-1,
182,2,0,0,0,0,0,
183,-2,-2,-1,-1,-2,-2,
184,0,0,2,0,0,-2,
185,-1,-1,-2,-2,-2,-1,
186,-1,2,-1,-1,-1,-2,
187,0,0,-1,-1,-1,-2,
188,0,0,2,0,0,0,
189,-1,-1,-2,-2,-2,-2,
190,0,0,0,0,0,0,
191,0,0,0,0,0,0,
192,1,2,0,0,0,0,
193,0,0,0,0,0,0,
194,1,-2,-1,0,0,-1,
195,2,0,0,2,0,0,
196,0,0,0,0,0,0,
197,-1,-1,-2,-2,-2,-1,
198,-1,-1,-1,-1,-1,-1,
199,-2,-2,-2,-2,-2,-2,
200,1,2,0,0,0,0,
201,0,0,0,0,0,0,
202,0,0,0,0,2,2,
203,4,3,2,2,2,2,
204,1,-2,-2,-1,0,-1,
205,2,0,0,2,0,0,
206,2,2,2,2,0,0,
207,0,0,0,0,0,0,
208,-2,-2,-2,-2,-2,-2,
209,0,0,0,0,0,0,
210,-2,-2,-2,-2,-2,-1,
211,-2,-2,-2,-2,-2,-2,
212,1,2,2,2,2,0,
213,0,0,0,0,0,0,
214,-1,-1,-1,-1,-1,-1,
215,2,2,2,0,0,0,
216,0,0,0,2,2,0,
217,-1,-1,-1,-1,0,-1,
218,-1,-1,-1,-1,0,-1,
219,0,0,0,0,0,0,
220,-1,-1,-1,-1,-1,-1,
221,-1,-1,-1,-1,2,-1,
222,0,0,0,-1,-1,-1,
223,-1,-1,-1,-1,-1,-1,
224,-1,-1,-1,-1,-1,-1,
225,0,0,0,0,0,0,
226,-1,-1,-1,0,0,0,
227,0,0,0,0,0,0,
228,0,0,0,0,0,0,
229,-1,-1,-1,0,-1,-1,
230,2,2,2,0,0,0,
231,1,2,2,2,2,2,
232,0,0,0,0,0,0,
233,0,0,0,0,0,0,
234,0,0,0,0,0,0,
235,0,0,0,0,0,0,
236,-2,-2,-2,-2,-2,-2,
237,0,0,0,0,0,0,
238,0,0,0,0,0,0,
239,0,0,0,0,0,0,
240,1,-2,-2,-2,-2,-2,
241,0,0,-2,-2,-2,-2,
242,0,0,0,0,0,0,
243,1,-2,-2,-2,-2,-2,
244,0,0,2,2,0,0,
245,0,0,2,0,0,0,
246,0,0,0,0,0,2,
247,0,0,0,0,0,0,
248,0,0,0,0,0,0,
249,0,0,0,0,0,0,
250,2,0,0,0,0,0,
251,-1,-1,-1,0,0,0,
252,0,0,0,0,0,0,
253,-1,-1,-1,-1,0,0,
254,0,0,0,0,0,0,
255,0,0,0,0,0,0,
256,0,0,0,0,0,0,
257,0,0,0,0,0,0,
258,0,0,0,0,0,0,
259,1,-1,0,0,0,0,
260,2,2,2,2,2,2,
261,-1,-1,-1,-1,-1,-2,
262,0,0,0,0,0,0,
263,1,-2,-2,-2,-2,-2,
264,0,0,-2,-2,-2,-1,
265,0,0,0,0,0,0,
266,-1,-1,-1,-1,-1,-1,
267,2,3,2,0,0,3,
268,0,0,0,-2,-2,-2,
269,0,0,0,0,0,0,
270,-1,-1,-2,-1,-1,2,
271,0,-1,-1,0,-1,-1,
272,0,0,0,0,0,0,
273,-1,-1,-1,-1,-1,-1,
274,0,0,0,0,2,0,
275,0,0,0,0,0,0,
276,-2,-2,-2,-2,-2,-2,
277,-2,-2,-2,-2,-2,-2,
278,0,0,0,0,0,0,
279,1,-2,-2,-2,-2,-1,
280,0,0,0,0,0,0,
281,2,2,2,2,2,2,
282,0,0,0,0,0,0,
283,1,-1,-1,2,-1,-1,
284,4,3,2,0,0,0,
285,0,0,0,0,0,0,
286,2,2,3,2,0,0,
287,0,0,0,0,0,0,
288,2,2,2,0,0,0,
289,2,0,0,2,0,0,
290,0,0,0,0,0,0,
291,0,0,0,-1,-1,-1,
292,-1,0,0,0,0,-2,
293,-1,-1,-1,-1,-1,-1,
294,0,0,0,0,0,0,
295,0,0,0,0,0,0,
296,0,-1,0,0,0,-1,
297,-1,-1,-2,-1,-1,0,
298,-1,-1,-1,-1,0,-1,
299,0,0,0,0,0,0,
300,-2,-2,-2,-2,-2,-2,
301,-1,-1,-1,-1,-1,0,
302,3,2,2,2,2,2,
303,0,0,0,0,0,0,
304,2,0,0,0,0,0,
305,0,0,0,0,0,-1,
306,-1,-1,-1,-1,-1,-1,
307,-2,-2,-2,-2,-2,-2,
308,0,0,2,2,0,0,
309,0,0,0,0,0,0,
310,-2,-2,-2,-2,-2,-2,
311,0,0,0,0,0,0,
312,-2,-2,-2,-2,-2,-2,
313,-2,-1,-1,0,0,-2,
314,-1,-1,-2,-1,-1,-2,
315,0,0,0,0,0,0,
316,0,0,0,0,0,0,
317,2,2,2,2,2,2,
318,-1,-1,-1,-1,-1,0,
319,-1,-1,-1,-1,-1,-1,
320,0,0,0,0,0,0,
321,0,0,0,3,2,0,
322,-2,-2,-2,-2,-2,-2,
323,-1,-1,-1,0,0,0,
324,-1,-1,-1,-1,-1,-1,
325,0,0,-1,0,-1,0,
326,0,0,0,0,0,0,
327,0,0,2,3,2,0,
328,2,2,2,0,0,0,
329,0,0,-1,0,0,0,
330,0,0,0,0,0,0,
331,1,-2,-2,-2,-2,-2,
332,0,0,0,0,0,-2,
333,-1,-1,-1,-1,-1,-2,
334,0,0,0,0,0,0,
335,-1,0,-1,-1,0,-1,
336,0,0,0,0,0,0,
337,0,0,2,0,0,-2,
338,1,2,2,2,2,2,
339,2,2,2,3,3,4,
340,0,0,0,0,0,0,
341,2,0,0,0,2,2,
342,1,2,2,2,0,0,
343,2,0,0,2,0,0,
344,0,0,0,0,0,0,
345,1,1,1,1,0,0,
346,-1,0,0,2,2,2,
347,0,0,0,0,0,0,
348,-2,-2,-2,-2,-2,-2,
349,0,0,0,0,0,0,
350,1,-2,-2,-2,-2,-2,
351,-2,-2,-2,-2,-1,0,
352,-1,0,0,0,0,0,
353,-2,-2,-1,0,0,0,
354,-1,-1,-1,-1,-1,-1,
355,-1,-1,-1,-1,-1,-1,
356,-1,-1,-1,-1,-1,0,
357,-1,-1,-1,-1,0,0,
358,0,0,0,0,0,0,
359,-2,-2,-2,-2,-2,-2,
360,-1,2,-1,-1,-2,-1,
361,0,0,0,0,0,2,
362,0,0,0,-1,-1,-2,
363,-1,-1,-1,-1,2,-1,
364,-2,-2,-2,-2,-2,-2,
365,0,0,0,0,0,0,
366,0,0,0,0,0,0,
367,0,0,0,0,0,0,
368,0,0,0,0,0,0,
369,0,0,0,0,0,-2,
370,-1,-1,-1,0,0,0,
371,-1,-1,-1,0,-1,-1,
372,0,0,0,0,0,0,
373,3,2,2,3,3,3,
374,-1,-1,-1,-2,-1,2,
375,0,0,0,0,0,0,
376,-1,-1,-1,-1,-2,-2,
377,0,0,0,0,0,0,
378,0,0,0,0,0,0,
379,0,0,0,0,0,-2,
380,2,0,0,0,-2,-1,
381,1,-2,-2,-1,-1,-1,
382,0,0,0,0,0,0,
383,0,0,0,0,-1,-1,
384,0,0,0,0,0,0,
385,0,0,0,0,0,0,
386,0,0,0,0,0,-1,
387,-2,-2,-2,-2,-1,0,
388,-1,-1,-1,-1,-1,-1,
389,0,0,0,0,0,0,
390,2,2,2,2,2,0,
391,0,0,2,0,0,0,
392,-1,-1,-1,-1,-1,-1,
393,0,0,0,0,0,0,
394,1,-2,-1,-1,-1,-1,
395,1,-2,-1,0,0,-2,
396,-2,-2,-2,-2,-2,-2,
