ID,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6
0,154029,153012,154508,152829,152842,152747,
1,42646,30060,28391,26156,25377,27422,
2,137502,127014,120826,112211,110396,113386,
3,10424,10197,85777,81919,75332,47622,
4,111056,113467,110235,111376,154802,152304,
5,68931,67706,67017,65159,64152,65208,
6,502904,481990,476680,402695,362128,347271,
7,17229,17591,17750,17175,18716,18782,
8,8823,10606,4991,4461,2561,0,
9,6805,8449,10303,11737,10619,49872,
10,47987,49084,46759,8195,8367,8534,
11,149351,108152,87537,67974,35003,35736,
12,390,390,390,390,780,390,
13,6197,4934,6783,11507,4883,5897,
14,49467,50551,53490,104477,54351,25346,
15,0,0,0,0,0,0,
16,50870,49831,47162,47696,36476,32654,
17,0,203,203,0,7856,16544,
18,4833,6370,2342,810,9743,1000,
19,105403,51190,44598,38322,38255,31427,
20,218605,166310,166106,100151,50340,51400,
21,170487,174258,175905,178528,175581,180145,
22,84014,85107,82532,81236,78306,72173,
23,130888,133400,0,0,0,0,
24,329,49,317,827,390,120,
25,19443,18851,19248,18648,20040,19464,
26,3814,-6,6456,0,2746,11613,
27,190691,206000,194930,130938,134664,140238,
28,58301,57861,47409,47743,45654,26525,
29,119193,163856,170201,162212,145184,118467,
30,63150,68125,66432,73312,72015,76521,
31,6723,17385,32046,32530,18896,17049,
32,30542,29780,28968,29540,29505,29428,
33,304040,305627,305697,269017,275230,260419,
34,0,0,5365,6274,7017,8893,
35,19422,17545,18163,19146,18331,18736,
36,50120,49013,50051,51123,52175,53337,
37,11200,0,970,0,0,2184,
38,0,0,0,0,0,0,
39,16149,17373,18000,20000,0,780,
40,367670,374631,348144,311004,254598,227869,
41,780,0,390,390,780,0,
42,61050,62663,62425,59118,49449,38047,
43,1689,499,350,2277,41523,2175,
44,91116,89047,91595,88197,59822,55345,
45,30155,10508,7575,3026,1133,3408,
46,41094,36554,37568,38314,39141,40231,
47,0,1541,811,2754,17557,1144,
48,2500,2500,0,0,0,0,
49,60876,60606,58227,60538,45018,38086,
50,18231,34558,17363,17569,0,0,
51,19859,19268,18687,17956,17710,18710,
52,106526,85019,82784,81458,86227,84646,
53,81562,56352,29582,28852,29464,28688,
54,3014,-1750,76674,77974,80064,81747,
55,18569,40278,18760,18662,0,0,
56,64853,67948,197032,169878,164926,160600,
57,114007,117677,124636,121232,124199,129346,
58,412962,409812,393255,370202,258387,255740,
59,7524,0,3968,3868,0,0,
60,4711,5737,8818,8471,8644,8820,
61,0,0,0,0,1830,0,
62,2344,7929,7667,26900,31500,33920,
63,28120,32429,0,0,2522,2575,
64,4131,24255,7838,7139,-320,-320,
65,6206,6723,7545,362,181,488,
66,2626,15912,1677,315,3042,374,
67,21136,20043,20192,19459,36290,19774,
68,48726,48261,39336,10142,10174,9904,
69,3257,1816,1816,1806,764,3368,
70,17312,17762,18814,19614,0,0,
71,16371,17801,18256,18425,0,0,
72,0,0,0,0,0,0,
73,0,0,0,0,0,0,
74,6524,7559,9564,9264,9862,10050,
75,37636,27448,29890,390,257,10700,
76,0,1330,2988,0,30000,0,
77,2650,0,855,640,0,0,
78,5482,15900,1678,0,764,0,
79,0,0,0,0,0,0,
80,390,390,390,1438,719,1588,
81,11147,9757,9423,3345,2929,2520,
82,118368,124934,131328,137605,140729,146194,
83,390,390,390,390,390,390,
84,9791,7052,6816,5210,0,0,
85,0,0,0,0,0,0,
86,0,0,0,848,0,632,
87,0,0,0,0,0,0,
88,67880,66658,58486,29171,17725,17693,
89,33703,30857,28481,27634,26691,26329,
90,1500,2000,1382,-118,13656,13927,
91,51261,51493,50136,20287,20281,20027,
92,78453,48208,8882,47695,48461,48903,
93,20874,21930,22165,20502,19030,15119,
94,51102,50484,49175,21944,20142,18728,
95,0,7400,-600,-600,-600,-600,
96,7928,2318,22430,20457,13964,14872,
97,33928,35356,36782,31309,32480,33953,
98,1046,2700,2187,678,2040,944,
99,20876,21999,7426,6092,5074,3865,
100,78089,75159,76602,76896,78588,77770,
101,456,0,0,2240,1681,2267,
102,145907,150336,110569,106095,92573,89650,
103,1828,2835,5270,5040,5304,5777,
104,47403,37835,30212,26302,20465,12460,
105,25735,27001,28261,29337,26189,21715,
106,15810,15947,6012,5689,4587,2293,
107,46743,50936,53107,53717,53255,55160,
108,622,3074,0,688,2605,377,
109,26410,31128,24486,21879,13127,14149,
110,26437,27741,28465,31040,29827,28254,
111,80998,63184,58346,56361,55933,56936,
112,3077,390,1946,2503,0,780,
113,50479,48294,48735,45036,19246,18872,
114,98492,50095,49057,17426,17789,18003,
115,101596,102860,104694,103058,71095,47379,
116,10343,12161,15061,14400,16000,18000,
117,31443,26358,20050,10850,4204,0,
118,6551,8482,10184,12408,11922,12167,
