ID,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,label
1,0,689,0,0,0,0,1
2,0,1000,1000,1000,0,2000,1
3,1518,1500,1000,1000,1000,5000,0
4,2000,2019,1200,1100,1069,1000,0
5,2000,36681,10000,9000,689,679,0
6,2500,1815,657,1000,1000,800,0
7,55000,40000,38000,20239,13750,13770,0
8,380,601,0,581,1687,1542,0
9,3329,0,432,1000,1000,1000,0
10,0,0,0,13007,1122,0,0
11,2306,12,50,300,3738,66,0
12,21818,9966,8583,22301,0,3640,0
13,1000,6500,6500,6500,2870,0,0
14,3200,0,3000,3000,1500,0,1
15,3000,3000,3000,3000,3000,3000,0
16,0,1500,1100,1200,1300,1100,0
17,3200,0,1500,0,1650,0,1
18,10358,10000,75940,20000,195599,50000,0
19,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0
21,3000,1537,1000,2000,930,33764,0
22,316,316,0,632,316,0,1
23,2007,3582,0,3601,0,1820,1
24,19428,1473,560,0,0,1128,1
25,5757,0,5398,1200,2045,2000,0
26,1973,1426,1001,1432,1062,997,0
27,0,1000,0,500,0,1000,1
28,1300,1300,1000,1500,1000,1012,0
29,3415,3421,2044,30430,257,0,0
30,1500,1500,1000,1000,1600,0,0
31,17270,13281,15339,14307,37292,0,0
32,1718,1500,1000,1000,1000,716,1
33,3023,3511,3302,3204,3200,2504,0
34,4152,22827,7521,71439,981,51582,0
35,5006,31178,3180,0,5293,768,0
36,131,396,396,565,792,0,0
37,8026,8060,6300,6400,6400,6737,0
38,1500,1518,2043,0,47671,617,0
39,780,0,0,0,0,0,1
40,9075,0,9976,8000,9525,781,0
41,10000,7000,6000,188840,28000,4000,0
42,3000,4500,4042,2500,2800,2500,0
43,1500,2927,1000,300,1000,500,0
44,3000,3000,3000,4000,4000,3000,0
45,3000,5000,0,2000,3000,0,0
46,0,0,0,0,0,0,1
47,3000,0,16741,334,0,0,1
48,1013,1170,0,0,0,0,1
49,21540,15138,24677,11851,11875,8251,0
50,1318,1315,704,928,912,1069,0
51,0,3100,2000,0,1500,1500,1
52,2000,1606,1500,2000,1500,1000,0
53,7875,7600,11185,3544,464,0,0
54,1300,2010,1762,1762,1790,1622,0
55,1600,1718,1049,1500,2000,5000,0
56,3640,162,0,151,2530,0,0
57,8500,1500,7500,679,9000,2000,0
58,8083,7296,5253,4814,4816,3800,0
59,0,0,700,0,1200,0,0
60,17000,15029,30000,12000,12000,23000,0
61,1516,1300,1000,1000,2000,2000,1
62,4025,2095,1000,2000,3000,0,0
63,0,2700,0,2225,1200,0,1
64,1000,0,0,0,0,0,1
65,0,0,0,2353,0,0,0
66,0,0,8222,300,0,1000,1
67,2300,0,150,200,200,160,1
68,300,1159,2280,300,4250,909,0
69,0,0,20161,0,7319,13899,0
70,0,1200,1000,500,1000,0,0
71,0,390,390,390,390,390,0
72,2500,2500,0,4800,2400,1600,1
73,5818,15,9102,17,3165,1395,0
74,0,3155,0,2359,0,0,0
75,5713,23453,4314,80552,25949,2016,0
76,2850,0,610,630,1500,0,0
77,1759,1779,320,500,1000,1000,0
78,291,291,291,291,291,291,0
79,1686,1400,560,3000,1765,0,1
80,0,0,0,0,0,0,1
81,6400,7566,3000,960,1000,3000,0
82,4796,3400,3100,146900,196,2963,0
83,1576,1213,648,768,1140,0,1
84,10700,3,3050,3000,3200,2800,0
85,1676,1302,700,699,849,826,0
86,4400,3547,80000,4500,4800,4500,0
87,1170,0,0,390,390,390,1
88,1147,2000,2000,0,766,2303,0
89,40000,5000,1330,7095,1190,2090,0
90,0,1651,1000,2000,0,1500,0
91,6300,5500,5500,5500,5000,5000,1
92,0,3968,0,0,0,0,0
93,7555,0,0,0,0,0,0
94,1602,840,840,0,0,7736,0
95,1937,1301,682,690,816,835,0
96,3621,3597,1179,1112,1104,1143,0
97,8339,3394,12902,27000,0,68978,0
98,4031,10006,3266,4040,1698,800,0
99,1411,1194,379,281,321,197,0
100,1699,1460,626,1750,150,0,1
101,10212,850,415,100,1430,0,0
102,223,33178,1171,1197,1250,5000,0
103,16078,55693,17000,0,18000,24200,0
104,1767,1362,1002,840,995,904,1
105,0,5000,2511,6,3000,3000,0
106,0,0,0,0,26529,2000,0
107,2861,3279,3319,1150,1150,1035,0
108,2272,722,867,1150,5263,5011,0
109,10908,0,133657,4566,133841,4796,0
110,0,0,0,0,0,0,0
111,9260,0,3593,4100,15794,0,0
112,2000,1000,1000,1000,1000,1000,0
113,6500,0,14254,14850,0,5000,0
114,2000,2677,3076,5080,3000,2033,0
115,1340,1305,700,718,724,684,0
116,0,1312,3000,0,1000,1000,1
117,326,326,5676,476,326,526,0
118,2000,1700,1000,1000,1000,1000,1
119,9677,11867,7839,14837,7959,5712,0
120,2000,3000,3000,1307,1203,563,0
121,1000,4035,1000,1400,2800,0,1
122,0,0,0,0,0,0,1
123,0,0,0,0,0,0,0
124,13019,11128,8407,8599,6833,5987,1
125,1404,1130,600,861,313,0,0
126,0,0,0,0,0,0,0
127,3568,3585,3602,3848,3669,3784,0
128,4655,2690,2067,2142,2217,1000,1
129,1000,1066,1300,1500,1200,134,1
130,2504,7,1200,1200,1100,1500,0
131,5645,3508,27,13771,5911,3024,0
132,2622,3301,0,360,1737,924,0
133,9744,9553,7603,7830,7253,11326,0
134,8210,8095,8025,8175,8391,8200,0
135,2000,1400,0,500,0,1560,0
136,1500,1800,0,1000,0,327,0
137,2500,3000,3000,3000,3500,5000,0
138,1500,1500,1000,500,2000,546,0
139,300,5880,0,0,0,0,1
140,2360,1700,1000,900,870,2130,0
141,0,0,0,0,0,0,1
142,0,416,332,500,3500,832,0
143,1000,10000,400,700,800,600,0
144,10000,10000,10000,9983,15863,10000,0
145,15586,344,2340,4702,339,330,0
146,1000,1500,2000,1583,1100,0,0
147,1661,1200,351,358,182,0,1
148,8000,5000,55500,5000,5000,8500,0
149,1650,0,0,379,2091,1,0
150,0,22500,0,969,1000,0,0
151,3455,3110,5000,0,2100,2602,0
152,30000,3000,6000,8000,2000,14000,0
153,2906,1000,630,0,0,0,0
154,8042,6700,5137,100000,7000,6321,0
155,1700,1500,1000,1500,1500,1500,0
156,5000,5000,11885,5000,3000,5504,0
157,4000,3250,3250,3500,3560,5000,0
158,7300,7108,7680,6200,5000,4500,0
159,10478,10478,11078,11078,11678,10478,1
160,0,1600,500,500,600,600,0
161,3500,0,2200,0,1200,1250,0
162,390,780,216,864,0,390,0
163,396,396,792,0,423,369,0
164,17994,0,5469,5656,6811,3920,0
165,3000,1500,1500,1000,1500,1500,0
166,5500,3900,3000,2900,3000,2800,0
167,15383,8204,15413,4792,13453,4699,0
168,3166,0,1330,1398,12,50000,0
169,3500,3500,3652,10000,4000,0,0
170,1510,1442,982,1017,1277,567,0
171,5000,2000,3000,4000,3000,2000,0
172,3288,0,4340,2672,800,746,0
173,15000,1000,149,0,5000,10000,0
174,0,0,0,0,0,0,1
175,0,77,0,0,0,0,0
176,3000,3000,3000,5500,0,0,1
177,504,500,1000,500,3500,0,0
178,0,1500,1000,2000,0,2000,0
179,1212,1201,500,1500,1500,1000,0
180,5800,1000,600,400,1000,0,0
181,15000,0,2000,0,1256,65935,0
182,12500,6500,3000,2000,3000,2000,0
183,70010,30357,30000,20000,52183,20000,0
184,2500,1600,3000,1000,737,2000,1
