ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE
0,20000,2,2,1,24
1,120000,2,2,2,26
2,90000,2,2,2,34
3,50000,2,2,1,37
4,50000,1,2,1,57
5,50000,1,1,2,37
6,500000,1,1,2,29
7,100000,2,2,2,23
8,140000,2,3,1,28
9,20000,1,3,2,35
10,200000,2,3,2,34
11,260000,2,1,2,51
12,630000,2,2,2,41
13,70000,1,2,2,30
14,250000,1,1,2,29
15,50000,2,3,3,23
16,20000,1,1,2,24
17,320000,1,1,1,49
18,360000,2,1,1,49
19,180000,2,1,2,29
20,130000,2,3,2,39
21,120000,2,2,1,39
22,70000,2,2,2,26
23,450000,2,1,1,40
24,90000,1,1,2,23
25,50000,1,3,2,23
26,60000,1,1,2,27
27,50000,2,3,2,30
28,50000,2,3,1,47
29,50000,1,1,2,26
30,230000,2,1,2,27
31,50000,1,2,2,33
32,100000,1,1,2,32
33,500000,2,2,1,54
34,500000,1,1,1,58
35,160000,1,1,2,30
36,280000,1,2,1,40
37,60000,2,2,2,22
38,50000,1,1,2,25
39,280000,1,1,2,31
40,360000,1,1,2,33
41,70000,2,1,2,25
42,10000,1,2,2,22
43,140000,2,2,1,37
44,40000,2,1,2,30
45,210000,1,1,2,29
46,20000,2,1,2,22
47,150000,2,5,2,46
48,380000,1,2,2,32
49,20000,1,1,2,24
50,70000,1,3,2,42
51,100000,2,3,3,43
52,310000,2,2,1,49
53,180000,2,1,2,25
54,150000,2,1,2,29
55,500000,2,1,1,45
56,180000,2,3,1,34
57,180000,2,2,1,34
58,200000,2,1,2,34
59,400000,2,2,1,29
60,500000,2,3,1,28
61,70000,1,2,1,39
62,50000,1,1,2,29
63,50000,2,2,1,46
64,130000,2,2,1,51
65,200000,1,1,1,57
66,10000,1,2,1,56
67,210000,2,1,2,30
68,130000,2,3,2,29
69,20000,1,5,2,22
70,80000,1,1,2,31
71,320000,1,2,2,29
72,200000,2,2,1,32
73,290000,2,1,2,37
74,340000,1,1,2,32
75,20000,1,2,2,24
76,50000,1,3,2,25
77,300000,2,1,1,45
78,30000,2,2,2,22
79,240000,2,2,2,44
80,470000,2,3,3,33
81,360000,2,1,2,26
82,60000,1,3,2,30
83,400000,2,2,1,44
84,50000,2,3,2,49
85,160000,1,2,2,33
86,360000,2,1,1,45
87,160000,2,2,2,32
88,130000,2,1,1,35
89,20000,1,3,2,44
90,200000,1,1,1,53
91,280000,2,1,2,39
92,100000,2,1,2,27
93,160000,2,2,1,37
94,60000,2,2,2,23
95,90000,1,2,2,35
96,360000,1,1,1,43
97,150000,1,1,2,27
98,50000,2,3,1,22
99,20000,1,2,1,38
100,140000,1,1,2,32
101,380000,2,1,2,30
102,480000,1,1,1,63
103,50000,2,3,2,22
104,60000,2,2,2,26
105,70000,2,2,2,24
106,80000,2,2,1,36
107,350000,1,1,2,52
108,130000,1,2,2,38
109,360000,1,2,1,35
110,330000,2,1,1,31
111,50000,1,3,1,47
112,280000,1,2,1,41
113,100000,2,1,2,24
114,50000,1,2,2,41
115,30000,1,1,2,24
116,240000,1,1,2,28
117,80000,1,2,2,26
118,400000,1,2,1,34
119,240000,2,2,2,38
120,50000,1,3,2,37
121,450000,1,1,1,40
122,110000,2,1,1,48
123,310000,2,2,1,35
124,20000,1,1,2,27
125,20000,1,2,2,23
126,200000,1,3,2,52
127,180000,1,1,1,36
128,50000,1,2,1,51
129,60000,1,3,1,55
130,30000,2,1,2,23
131,240000,1,1,2,41
132,420000,1,2,1,34
133,330000,1,3,1,46
134,30000,2,2,2,22
135,240000,1,2,1,34
136,150000,1,1,2,27
137,210000,2,2,1,33
138,50000,2,3,1,51
139,50000,1,1,2,24
140,240000,1,1,2,47
141,180000,1,2,2,28
142,50000,1,2,2,23
143,170000,1,2,2,29
144,20000,1,1,2,29
145,50000,1,1,2,28
146,170000,2,2,2,27
147,200000,1,1,2,34
148,80000,2,2,1,23
149,260000,2,1,1,60
150,140000,1,2,1,32
151,80000,1,1,2,25
152,350000,1,1,2,41
153,280000,2,2,1,56
154,30000,2,3,2,26
155,140000,1,1,1,34
156,200000,2,1,2,37
157,200000,2,3,2,30
158,210000,1,3,1,45
159,50000,1,3,1,57
160,30000,1,1,2,41
161,50000,1,2,2,27
162,290000,1,3,1,47
163,250000,2,1,1,34
164,60000,2,2,1,46
165,110000,2,1,2,27
166,370000,1,1,2,50
167,100000,1,2,1,27
168,90000,2,2,1,35
169,50000,2,2,2,22
170,270000,1,2,2,37
171,300000,2,1,2,30
172,50000,2,2,2,22
173,50000,2,1,2,24
174,360000,1,1,2,29
175,130000,1,3,1,56
176,80000,1,1,2,30
177,50000,1,2,2,30
178,20000,2,2,2,22
179,80000,2,2,1,29
180,240000,1,1,2,37
181,80000,2,3,2,35
182,500000,2,1,1,47
183,60000,2,2,1,24
184,20000,1,2,2,25
185,100000,2,2,1,38
186,360000,2,1,2,32
187,200000,2,3,2,47
188,130000,2,2,1,34
189,20000,2,2,2,31
190,310000,1,1,2,32
191,60000,2,1,2,27
192,180000,2,1,2,29
193,180000,2,1,2,24
194,50000,1,2,1,36
195,50000,2,1,2,24
196,150000,2,2,1,34
197,20000,2,1,2,22
198,500000,2,1,1,34
199,30000,2,3,2,22
200,180000,2,1,1,38
201,140000,1,1,2,31
202,140000,2,1,2,26
203,120000,1,2,2,26
204,360000,2,2,1,48
205,20000,1,3,1,43
206,100000,1,1,1,47
207,210000,2,2,1,41
208,80000,2,2,2,24
209,330000,2,1,1,50
210,220000,1,1,2,24
211,210000,2,1,1,38
212,40000,2,3,1,43
213,30000,1,2,2,39
214,470000,1,2,2,27
215,30000,1,3,1,42
216,240000,2,2,1,36
217,80000,1,2,2,36
218,110000,2,3,0,31
219,310000,2,1,2,38
220,360000,2,1,1,40
221,330000,2,3,2,45
222,300000,2,2,2,35
223,320000,2,2,2,33
224,50000,2,3,2,37
225,170000,2,1,2,28
226,350000,1,3,1,44
227,20000,1,2,1,37
228,50000,1,2,2,23
229,20000,2,3,2,24
230,50000,2,1,2,24
231,20000,1,2,2,23
232,50000,1,2,1,26
233,190000,1,2,2,34
234,60000,2,2,1,33
235,80000,1,1,2,35
236,150000,2,2,2,27
237,210000,2,1,2,31
238,240000,2,3,1,50
239,140000,2,2,3,41
240,60000,2,1,2,28
