ID,PAY_1,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6
0,2,2,-1,-1,-2,-2
1,-1,2,0,0,0,2
2,0,0,0,0,0,0
3,0,0,0,0,0,0
4,-1,0,-1,0,0,0
5,0,0,0,0,0,0
6,0,0,0,0,0,0
7,0,-1,-1,0,0,-1
8,0,0,2,0,0,0
9,-2,-2,-2,-2,-1,-1
10,0,0,2,0,0,-1
11,-1,-1,-1,-1,-1,2
12,-1,0,-1,-1,-1,-1
13,1,2,2,0,0,2
14,0,0,0,0,0,0
15,1,2,0,0,0,0
16,0,0,2,2,2,2
17,0,0,0,-1,-1,-1
18,1,-2,-2,-2,-2,-2
19,1,-2,-2,-2,-2,-2
20,0,0,0,0,0,-1
21,-1,-1,-1,-1,-1,-1
22,2,0,0,2,2,2
23,-2,-2,-2,-2,-2,-2
24,0,0,0,-1,0,0
25,0,0,0,0,0,0
26,1,-2,-1,-1,-1,-1
27,0,0,0,0,0,0
28,-1,-1,-1,-1,-1,-1
29,0,0,0,0,0,0
30,-1,-1,-1,-1,-1,-1
31,2,0,0,0,0,0
32,0,0,0,0,0,0
33,-2,-2,-2,-2,-2,-2
34,-2,-2,-2,-2,-2,-2
35,-1,-1,-2,-2,-2,-1
36,0,0,0,0,0,0
37,0,0,0,0,0,-1
38,1,-1,-1,-2,-2,-2
39,-1,-1,2,-1,0,-1
40,0,0,0,0,0,0
41,0,0,0,0,0,0
42,0,0,0,0,0,0
43,0,0,0,0,0,0
44,0,0,0,2,0,0
45,-2,-2,-2,-2,-2,-2
46,0,0,2,-1,0,0
47,0,0,-1,0,0,-2
48,-1,-1,-1,-1,-1,-1
49,0,0,0,0,0,0
50,1,2,2,2,2,0
51,0,0,0,0,0,0
52,-2,-2,-2,-2,-2,-2
53,1,2,0,0,0,0
54,2,0,0,0,0,0
55,-2,-2,-2,-2,-2,-2
56,0,0,0,-1,-1,-1
57,0,0,0,0,0,0
58,-1,3,2,2,2,2
59,0,0,0,0,0,0
60,0,0,0,0,0,0
61,0,0,0,0,0,-1
62,2,2,2,2,2,2
63,0,0,0,-2,-2,-2
64,-1,-1,-2,-2,-1,-1
65,-2,-2,-2,-1,2,2
66,2,2,2,0,0,0
67,2,-1,-1,-1,-1,-1
68,1,-2,-2,-1,2,-1
69,2,0,0,0,0,0
70,-1,-1,-1,-1,-1,-1
71,2,2,2,2,2,2
72,-1,-1,-1,-1,2,-1
73,1,-2,-1,-1,-1,-1
74,-1,-1,-1,-1,-1,-1
75,0,0,2,0,0,0
76,-1,0,0,0,0,0
77,-1,-1,-1,-1,-1,-1
78,0,0,0,0,0,0
79,1,-2,-2,-2,-2,-2
80,0,0,0,0,0,0
81,0,0,0,0,0,-1
82,0,0,0,0,0,0
83,0,0,2,0,0,0
84,0,0,0,0,0,0
85,0,0,0,0,0,0
86,-1,-1,2,0,-1,-1
87,0,0,0,0,0,-1
88,0,0,0,-1,-1,-1
89,2,2,0,0,0,2
90,2,2,2,2,2,2
91,-1,-1,-1,0,0,-2
92,-2,-2,-2,-2,-2,-2
93,-1,-1,-1,-1,-1,-2
94,0,0,0,0,0,0
95,0,0,0,0,0,0
96,-1,-1,-1,-1,-1,0
97,0,0,0,0,0,0
98,0,0,0,0,0,0
99,0,0,0,0,0,-1
100,-2,-2,-2,-2,-2,-2
101,-2,-2,-1,0,0,0
102,0,0,0,2,2,0
103,0,0,0,0,0,0
104,2,2,2,2,2,0
105,-1,-1,-2,-2,-2,-1
106,-1,-1,-1,-1,-1,-1
107,-1,-1,-1,-1,-1,-1
108,0,0,0,-1,-1,-1
109,1,-2,-2,-2,-2,-2
110,0,0,2,0,0,0
111,0,0,2,0,0,0
112,2,2,2,2,2,3
113,0,0,0,0,0,0
114,0,0,0,0,0,0
115,-1,2,0,0,3,2
116,-1,-1,-1,-1,-1,-1
117,2,0,0,0,0,0
118,-1,-1,-1,-1,-1,-1
119,0,0,0,0,-1,-1
120,2,2,2,3,2,2
121,1,-2,-2,-2,-2,-2
122,1,-2,-2,-2,-2,-2
123,2,0,0,0,0,0
124,0,0,0,0,0,0
125,1,-2,-2,-2,-2,-2
126,0,0,0,0,0,0
127,0,0,0,0,0,0
128,0,0,0,0,0,0
129,3,2,2,0,0,0
130,1,-2,-2,-2,-1,-1
131,1,-1,-1,0,0,-1
132,0,0,0,0,0,0
133,0,0,0,0,0,0
134,0,0,0,0,0,0
135,0,0,0,2,2,2
136,0,0,0,0,0,0
137,0,0,0,0,0,0
138,-1,-1,-1,-1,-2,-2
139,0,0,0,0,0,0
140,1,-2,-2,-2,-2,-2
141,-1,-1,-1,-1,-1,-1
142,1,2,2,2,0,0
143,-2,-2,-2,-2,-2,-2
144,-1,-1,-1,-1,0,-1
145,0,0,0,0,0,3
146,0,0,0,0,0,0
147,1,2,0,0,0,0
148,1,2,3,2,0,0
149,1,-2,-1,-1,-1,-1
150,0,0,0,0,2,0
151,0,0,0,0,0,0
152,1,-1,-1,-1,-1,-2
153,0,0,0,0,0,0
154,0,0,0,0,0,0
155,0,0,0,0,0,0
156,0,0,0,0,0,0
157,0,0,0,0,0,0
158,2,3,4,4,5,6
159,3,2,0,0,0,0
160,2,2,2,2,2,0
161,2,-1,-1,-1,-1,2
162,-1,-1,-1,-1,0,-1
163,0,0,2,0,0,0
164,0,0,0,0,0,0
165,0,0,0,0,0,0
166,-2,-2,-2,-2,-2,-2
167,-1,2,2,0,0,0
168,0,0,0,0,0,2
169,0,0,0,0,0,0
170,0,0,0,0,0,0
171,-1,-1,-1,-1,-1,-1
172,-1,0,0,0,0,0
173,1,-2,-2,-2,-2,-2
174,1,-2,-1,-1,-2,-2
175,1,2,2,2,2,3
176,-2,-1,0,0,0,0
177,1,2,0,0,0,2
178,0,0,0,0,0,0
179,0,0,2,0,0,0
180,-1,-1,2,0,0,-1
181,0,-1,0,0,0,0
182,0,0,0,0,0,0
183,0,0,0,0,0,0
184,0,0,0,0,0,-1
185,1,2,0,0,2,0
186,1,-1,-1,-1,-1,-1
187,2,2,2,2,2,2
188,1,-1,0,0,0,0
189,1,5,4,4,3,2
190,0,0,0,0,0,0
191,2,0,0,0,2,0
192,-1,-1,-1,-2,-1,0
193,-1,-1,2,0,0,-2
194,0,0,0,0,-1,-1
195,1,2,2,2,2,2
196,-2,-2,-2,-2,-2,-2
197,0,0,0,0,-1,0
198,-2,-2,-2,-1,-1,-1
199,1,2,2,0,0,0
200,-2,-2,-2,-2,-2,-2
201,0,0,2,0,0,2
202,-1,0,-1,-1,-1,-1
203,0,0,0,0,0,0
204,0,0,0,0,0,0
205,-1,-1,0,0,0,0
206,-1,-1,-1,-1,-1,-1
207,-1,-1,-1,-1,-1,-1
208,0,0,0,0,0,0
209,-1,-1,-1,-1,-2,-2
210,0,0,0,-1,-1,-1
211,1,-2,-1,0,-1,-1
212,0,0,0,0,0,0
213,0,0,0,2,0,0
214,2,2,2,2,0,0
215,-1,-1,-1,-1,-1,2
216,1,-2,-2,-2,-2,-2
217,2,0,0,0,0,0
218,0,0,0,0,0,0
219,-1,-1,-1,-1,-2,-2
220,2,2,2,0,0,0
221,0,0,0,0,0,0
222,0,0,0,0,0,0
223,0,0,0,0,0,0
224,1,3,2,0,0,0
225,0,0,0,0,0,0
226,-1,-1,-1,-1,-1,-2
227,0,0,0,0,0,0
228,2,0,0,0,0,0
