ID,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6
1,3913,3102,689,0,0,0
2,2682,1725,2682,3272,3455,3261
3,29239,14027,13559,14331,14948,15549
4,46990,48233,49291,28314,28959,29547
5,8617,5670,35835,20940,19146,19131
6,64400,57069,57608,19394,19619,20024
7,367965,412023,445007,542653,483003,473944
8,11876,380,601,221,-159,567
9,11285,14096,12108,12211,11793,3719
10,0,0,0,0,13007,13912
11,11073,9787,5535,2513,1828,3731
12,12261,21670,9966,8517,22287,13668
13,12137,6500,6500,6500,6500,2870
14,65802,67369,65701,66782,36137,36894
15,70887,67060,63561,59696,56875,55512
16,50614,29173,28116,28771,29531,30211
17,15376,18010,17428,18338,17905,19104
18,253286,246536,194663,70074,5856,195599
19,0,0,0,0,0,0
20,0,0,0,0,0,0
21,38358,27688,24489,20616,11802,930
22,316,316,316,0,632,316
23,41087,42445,45020,44006,46905,46012
24,5512,19420,1473,560,0,0
25,4744,7070,0,5398,6360,8292
26,47620,41810,36023,28967,29829,30046
27,-109,-425,259,-57,127,-189
28,22541,16138,17163,17878,18931,19617
29,650,3415,3416,2040,30430,257
30,15329,16575,17496,17907,18375,11400
31,16646,17265,13266,15339,14307,36923
32,30518,29618,22102,22734,23217,23680
33,93036,84071,82880,80958,78703,75589
34,10929,4152,22722,7521,71439,8981
35,13709,5006,31130,3180,0,5293
36,30265,-131,-527,-923,-1488,-1884
37,186503,181328,180422,170410,173901,177413
38,15054,9806,11068,6026,-28335,18660
39,0,780,0,0,0,0
40,498,9075,4641,9976,17976,9477
41,218668,221296,206895,628699,195969,179224
42,67521,66999,63949,63699,64718,65970
43,1877,3184,6003,3576,3670,4451
44,59504,61544,62925,64280,67079,69802
45,18927,21295,25921,25209,26636,29197
46,0,0,0,0,0,0
47,14028,16484,15800,16341,16675,0
48,4463,3034,1170,1170,0,0
49,22401,21540,15134,32018,11849,11873
50,17447,18479,19476,19865,20480,20063
51,37042,36171,38355,39423,38659,39362
52,61559,51163,43824,39619,35762,33258
53,13465,7867,7600,11185,3544,464
54,41402,41742,42758,43510,44420,45319
55,46224,34993,31434,26518,21042,16540
