ID,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6
0,3913,3102,689,0,0,0
1,2682,1725,2682,3272,3455,3261
2,29239,14027,13559,14331,14948,15549
3,46990,48233,49291,28314,28959,29547
4,8617,5670,35835,20940,19146,19131
5,64400,57069,57608,19394,19619,20024
6,367965,412023,445007,542653,483003,473944
7,11876,380,601,221,-159,567
8,11285,14096,12108,12211,11793,3719
9,0,0,0,0,13007,13912
10,11073,9787,5535,2513,1828,3731
11,12261,21670,9966,8517,22287,13668
12,12137,6500,6500,6500,6500,2870
13,65802,67369,65701,66782,36137,36894
14,70887,67060,63561,59696,56875,55512
15,50614,29173,28116,28771,29531,30211
16,15376,18010,17428,18338,17905,19104
17,253286,246536,194663,70074,5856,195599
18,0,0,0,0,0,0
19,0,0,0,0,0,0
20,38358,27688,24489,20616,11802,930
21,316,316,316,0,632,316
22,41087,42445,45020,44006,46905,46012
23,5512,19420,1473,560,0,0
24,4744,7070,0,5398,6360,8292
25,47620,41810,36023,28967,29829,30046
26,-109,-425,259,-57,127,-189
27,22541,16138,17163,17878,18931,19617
28,650,3415,3416,2040,30430,257
29,15329,16575,17496,17907,18375,11400
30,16646,17265,13266,15339,14307,36923
31,30518,29618,22102,22734,23217,23680
32,93036,84071,82880,80958,78703,75589
33,10929,4152,22722,7521,71439,8981
34,13709,5006,31130,3180,0,5293
35,30265,-131,-527,-923,-1488,-1884
36,186503,181328,180422,170410,173901,177413
37,15054,9806,11068,6026,-28335,18660
38,0,780,0,0,0,0
39,498,9075,4641,9976,17976,9477
40,218668,221296,206895,628699,195969,179224
41,67521,66999,63949,63699,64718,65970
42,1877,3184,6003,3576,3670,4451
43,59504,61544,62925,64280,67079,69802
44,18927,21295,25921,25209,26636,29197
45,0,0,0,0,0,0
46,14028,16484,15800,16341,16675,0
47,4463,3034,1170,1170,0,0
48,22401,21540,15134,32018,11849,11873
49,17447,18479,19476,19865,20480,20063
50,37042,36171,38355,39423,38659,39362
51,61559,51163,43824,39619,35762,33258
52,13465,7867,7600,11185,3544,464
53,41402,41742,42758,43510,44420,45319
54,46224,34993,31434,26518,21042,16540
55,1905,3640,162,0,151,2530
56,16386,15793,8441,7142,-679,8321
57,175886,173440,172308,168608,132202,129918
58,1587,1098,782,1166,700,1414
59,400134,398857,404205,360199,356656,364089
60,22848,23638,18878,14937,13827,15571
61,70800,72060,69938,16518,14096,830
62,24987,24300,26591,25865,27667,28264
63,28718,29166,0,0,0,0
64,99,0,0,0,2353,0
65,152519,148751,144076,8174,8198,7918
66,2097,4193,3978,4062,4196,4326
67,300,300,1159,2280,300,4250
68,-190,-9850,-9850,10311,10161,7319
69,18565,17204,17285,18085,11205,5982
70,780,0,390,390,390,390
71,58267,59246,60184,58622,62307,63526
72,9076,5787,-684,5247,3848,3151
73,0,0,3155,0,2359,0
74,3048,5550,23337,4291,80153,25820
75,14619,17216,16642,16976,17332,18543
76,42838,37225,36087,9636,9590,10030
77,291,291,291,291,291,291
78,28387,29612,30326,28004,26446,6411
79,0,0,0,0,0,0
80,165254,157784,162702,69923,29271,29889
81,23411,27796,30400,33100,180000,196
82,26324,27471,28108,21993,19899,19771
83,131595,139060,126819,104430,104990,94058
84,48909,47863,21489,20414,19342,19482
85,130028,107808,71934,118418,118407,120418
86,390,1170,780,390,390,390
87,3826,4751,6604,8604,7072,766
88,81313,117866,17740,1330,7095,1190
89,8583,8303,9651,10488,12314,11970
90,138180,140774,142460,144098,147124,149531
91,7524,0,3968,3868,0,0
92,-2000,5555,0,0,0,0
93,880,1602,840,840,0,0
94,45648,46850,47214,19595,19209,19323
95,83725,85996,87653,35565,30942,30835
96,3967,8322,3394,6451,26370,9956
97,86009,86108,89006,89775,87725,40788
98,18722,18160,16997,13150,8866,7899
99,17973,19367,19559,18240,17928,150
100,672,10212,850,415,100,1430
101,-81,-303,32475,32891,33564,34056
102,422069,431342,479432,487066,471145,469961
103,44698,42254,38347,32496,23477,24094
104,56685,55208,59175,60218,55447,55305
105,5580,0,0,0,0,26529
106,6108,2861,3277,3319,1150,1150
107,713,2272,722,867,1150,5263
108,171438,178382,39940,120483,44127,126568
109,-103,-103,-103,-103,-103,-103
110,105879,108431,105594,105896,106491,107289
111,13244,14722,15181,15928,16671,17393
112,135673,138532,134813,144401,152174,149415
113,52128,52692,54477,56076,60100,59713
114,19015,19294,20259,20274,20311,19957
115,18199,17618,18631,21319,20692,21201
116,326,326,326,5676,476,326
117,14029,15493,16630,17055,17629,18186
118,19660,9666,11867,7839,14837,7959
119,50254,51445,53015,52479,1307,1203
120,46004,45976,48953,48851,49318,51143
121,0,0,0,0,0,0
122,0,0,0,0,0,0
123,304991,311243,306314,258610,246491,198889
124,19115,18962,19298,19378,19717,15630
125,0,0,0,0,0,0
126,110151,99530,98951,100914,103146,104993
127,163736,116422,99278,95766,97753,95927
128,3347,3899,4503,5347,6375,7077
129,60521,61450,57244,28853,29510,26547
130,4000,5645,3508,-27,13744,5906
131,95,2622,3301,3164,360,1737
132,253454,247743,229049,220951,210606,188108
133,227389,228719,229644,227587,227775,228203
134,28452,26145,26712,25350,17603,-780
135,10674,12035,13681,13269,14158,13891
136,17444,19342,22000,24614,27200,30229
137,7166,7997,8792,9189,4404,5708
138,752,300,5880,0,0,0
139,50801,50143,49586,19430,19375,18995
140,0,0,0,0,0,0
141,1832,0,832,332,416,416
142,10131,10833,20583,19996,19879,18065
143,12159,10000,10000,10000,9983,15846
144,1199,15586,344,2340,6702,339
145,4999,5913,7315,9195,10624,10138
146,19269,20313,20852,17560,17918,9100
147,197236,176192,93069,135668,132233,59875
148,9168,10522,10205,9898,10123,12034
149,-1100,-1100,21400,0,969,869
150,86627,78142,68336,64648,58319,55251
151,42444,55744,43476,41087,41951,31826
152,208,2906,1000,630,0,0
153,208775,182350,132257,101783,177145,169311
154,9014,10406,11427,11935,13084,14206
155,23944,28049,32073,43129,47086,48699
156,105420,102870,89643,90938,92505,94031
157,196031,196143,189524,167163,146975,122324
158,115785,122904,129847,137277,145533,154105
159,12854,12362,13447,13427,13711,14083
160,24357,27453,26718,28168,27579,28321
161,390,390,780,216,1080,540
162,1234,396,396,792,396,423
163,141223,156858,151841,152803,155997,160220
164,21148,23803,24908,26034,26655,27756
165,101640,104795,104855,74737,76058,77254
166,6093,15130,8204,15398,4792,13453
167,102349,96847,58824,29336,22979,-246
168,72112,73854,75526,77317,85852,88290
169,28040,29092,29366,27737,28318,28806
170,37695,33397,30534,27598,26344,24641
171,688,3280,0,4340,2672,800
172,8567,15273,11650,7457,3115,7725
173,-709,-709,-709,-2898,-3272,-3272
174,0,0,77,0,0,0
175,64617,65978,67282,68557,72796,71345
176,6187,100,600,1438,1919,5380
177,48860,47801,48363,30221,22877,22361
178,16001,12622,13221,13130,14034,14906
179,77883,81811,80250,61467,10662,11486
180,12212,26578,25331,26605,26279,1256
181,49608,12412,14873,17364,17770,17460
182,56422,110616,110340,122967,108834,70064
183,58024,57891,48839,18971,19323,19395
184,10642,11677,13070,12280,1615,1620
185,14483,13961,15323,16268,15868,16448
186,2616,57077,5287,68445,13881,16240
187,199436,202947,193936,196186,200162,189915
188,0,5396,10270,13576,13864,14636
189,21703,21087,21461,20835,20219,20487
190,59901,62147,62102,65875,60387,43328
191,19625,20347,21669,23005,22499,22873
192,11386,199,0,0,17227,17042
193,14670,22087,21282,10200,0,0
194,47790,18114,18250,-14,72,658
195,36166,37188,37680,38462,39228,40035
196,0,0,0,116,0,1500
197,18553,19446,19065,8332,18868,19247
198,412,138,2299,1251,1206,1151
199,29010,29256,28122,29836,1630,0
200,750,0,0,0,0,0
201,27123,27299,17985,20225,27407,10833
202,13424,18000,13001,5818,13506,487
203,107314,110578,113736,116000,119131,122135
204,226430,231878,234192,190211,173557,146511
205,227,20351,20237,19339,19450,19337
206,390,1473,390,390,390,0
207,3088,1586,343,3763,877,0
208,81625,81554,79599,49552,49509,49568
209,8872,4337,2854,1690,0,1709
210,105607,108917,111520,8303,0,85632
211,0,0,250,123,789,1222
212,38257,38901,38103,36207,33138,31339
