ID,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,label
0,0,0,0,0,0,0,0,
1,0,1138,0,2500,0,0,0,
2,0,2150,2116,65,72460,5000,1,
3,0,1700,1100,3,1053,1303,0,
4,0,0,0,0,0,0,0,
5,2427,1214,600,656,282,0,1,
6,2500,2000,2000,1600,1200,2000,1,
7,1000,7600,5949,6000,5200,5117,0,
8,3002,6500,15525,0,0,0,0,
9,3300,3168,3143,2700,3600,1700,0,
10,11684,34545,8981,1349,7867,0,0,
11,4200,5555,4000,4000,4000,4200,0,
12,12188,12639,11123,9600,10028,16947,0,
13,0,0,0,0,0,0,1,
14,5000,4000,0,7200,3500,3600,1,
15,0,0,1000,0,500,500,0,
16,8651,19404,10000,2000,1106,3675,0,
17,3000,3000,2000,2000,1069,1074,0,
18,0,2000,1500,0,1000,1500,1,
19,3000,2000,3000,3000,2000,5000,0,
20,1000,3359,1000,2470,500,1500,0,
21,1313,883,0,0,0,0,0,
22,560,5287,2000,900,406,900,0,
23,2138,1400,3000,5000,0,0,1,
24,6657,10000,8000,2000,2000,2000,0,
25,2000,5000,3000,4000,3000,3000,0,
26,2966,1000,602,500,500,500,0,
27,4000,4000,3500,2500,2290,2060,0,
28,390,99235,4368,3449,3713,3610,0,
29,310,7006,2000,0,38277,6000,0,
30,11128,47009,34044,11677,15483,6098,0,
31,0,0,0,0,0,17000,0,
32,0,0,873,0,0,0,0,
33,974,4271,3696,0,2099,7784,0,
34,8031,55015,5327,5505,5525,6039,0,
35,0,0,0,0,0,510,0,
36,4500,0,3000,10000,2000,2000,0,
37,1953,2000,29982,800,1516,60615,0,
38,11400,13600,3274,0,26710,12000,0,
39,230,1500,1310,1444,0,1000,1,
40,1000,24677,0,0,0,0,0,
41,4000,10737,6849,4000,4000,2138,0,
42,22313,6083,5924,547,1308,1480,1,
43,711,1945,1052,2004,931,1499,0,
44,0,0,0,0,0,0,0,
45,0,1300,0,2777,0,0,1,
46,35000,5000,8000,5000,5000,4000,1,
47,0,0,0,0,0,0,1,
48,0,0,0,0,1620,900,1,
49,1063,1089,1000,3899,3383,0,0,
50,10381,9036,9066,9576,9426,9435,1,
51,0,218,4360,0,0,0,0,
52,12000,7007,3000,3000,2500,5000,0,
53,7000,4000,207,229,70,0,0,
54,2000,0,0,0,0,0,0,
55,1408,2660,0,1400,2000,1200,0,
56,0,0,0,0,0,0,1,
57,1500,1500,1000,1100,1300,710,0,
58,1723,1800,1100,2300,1000,1300,0,
59,3000,3000,2000,3000,3000,1000,0,
60,1500,0,1500,2500,0,1500,1,
61,4000,4000,2003,7202,5314,3535,0,
62,2000,1900,1600,2000,3000,0,1,
63,1310,1500,500,500,500,200,0,
64,1900,3400,5100,2800,2900,2800,0,
65,13000,13100,13500,13500,13900,15000,0,
66,1658,1601,1587,1310,1510,2000,1,
67,1527,1541,1192,1233,1239,1273,0,
68,24298,7068,8015,10053,15000,9507,0,
69,6400,6600,6500,5100,5300,6000,0,
70,10000,5000,3132,0,0,115660,0,
71,8210,8095,8025,8175,8391,8200,0,
72,10414,21229,91254,18293,14332,15785,0,
73,0,0,0,0,0,0,0,
74,1,1693,6940,7,1230,3,0,
75,12013,21041,1514,9122,9518,9209,1,
76,0,1575,2000,1500,2000,3000,1,
77,1010,696,0,2272,1605,3027,0,
78,0,4500,0,2400,0,2200,1,
79,6800,7790,4587,4675,4525,4497,0,
80,0,0,0,0,0,0,1,
81,44234,21823,5089,9192,6098,16495,0,
82,1000,0,2000,2000,2500,0,1,
83,2017,1033,0,0,0,1820,0,
84,2549,2916,4321,700,6267,1727,0,
85,2072,1769,1003,189,120,100,0,
86,1500,2579,1437,1314,1616,800,0,
87,0,0,700,0,1200,0,0,
88,2000,2000,1000,1020,100,2500,1,
89,4176,0,1000,1292,390,2165,0,
90,2361,5608,1851,2801,3268,2096,0,
91,12100,0,0,6000,5000,6000,0,
92,2700,4500,1000,933,5000,500,0,
93,0,7000,5000,5000,6000,6000,0,
94,5126,3019,2777,2800,3000,3000,0,
95,0,0,0,0,0,0,0,
96,316,316,316,466,8057,316,0,
97,2000,1600,1401,1607,1800,1751,0,
98,360,360,150,870,510,870,1,
99,2000,1518,1500,1000,1000,1000,0,
100,1500,2000,1000,3000,1000,1000,1,
101,5700,0,2000,20172,73512,3000,0,
102,2000,2000,2500,2000,2000,4000,0,
103,5531,6781,12162,248,0,1703,0,
104,2745,2939,3500,3000,1989,1987,0,
105,416,0,1248,0,416,416,1,
106,2000,1800,1100,3000,0,1000,0,
107,2000,2000,2000,2000,2000,3000,0,
108,2036,1500,1201,1500,2000,2000,0,
109,17100,0,8000,7000,7000,6000,0,
110,1506,319,2488,187,607,1945,0,
111,0,0,780,0,0,0,1,
112,0,0,7300,1000,1000,330,0,
113,0,6507,0,5260,3000,4584,0,
114,1300,1229,1120,292,2784,270,0,
115,2871,2727,3170,1940,2200,1700,0,
116,836,836,1672,0,390,930,0,
117,19067,5000,0,326,326,326,0,
118,2000,2050,1895,2068,1982,1995,0,
119,1618,1661,1046,192,10476,2965,0,
120,6141,4474,2647,1367,1322,1500,0,
121,5000,2655,800,15000,0,10000,0,
122,0,0,0,0,0,0,1,
123,1899,1400,1188,600,0,0,0,
124,185,1916,0,150,1348,1000,0,
125,5000,5000,5000,5000,3709,0,0,
126,626,626,626,776,783,1252,0,
127,1700,0,2700,1100,0,875,1,
128,1700,1500,1000,682,0,0,0,
129,15504,14000,12500,12000,11000,14000,0,
130,3000,2200,2000,2000,2000,3000,0,
131,0,0,0,0,0,0,1,
132,3055,1467,1096,1000,0,0,0,
133,3000,2400,2000,3000,2508,0,1,
134,0,19449,1500,1000,1000,1000,1,
135,1300,2500,0,1000,1800,0,0,
136,2380,0,970,0,89,0,0,
137,2000,2000,1000,1000,1000,2000,0,
138,7002,1807,2000,4000,0,33000,1,
139,1400,1700,1900,557,1000,2000,0,
140,2000,2000,2500,1500,0,1200,1,
141,2800,0,0,272,166,3756,0,
142,0,0,0,0,0,0,0,
143,6582,0,2943,2301,2374,2500,0,
144,6500,4733,4015,4000,4000,3800,1,
145,3085,2969,1007,1042,1200,1501,0,
146,4026,3100,3050,3000,2300,2700,0,
147,1300,3005,0,700,2000,1500,0,
148,7013,10051,10026,7039,8057,10213,0,
149,7919,17512,12021,132906,0,37380,0,
150,3001,2382,67867,2420,2338,2326,0,
151,0,4500,0,1000,2000,3000,1,
152,1500,1505,1000,500,1000,115,0,
153,0,0,908,800,1000,1809,0,
154,1900,1500,1000,1100,1337,1500,1,
155,0,0,0,0,0,0,1,
156,10005,9001,8001,5001,5001,6145,0,
157,2145,2000,2012,2049,2008,1217,0,
158,1347,0,1300,1500,900,0,1,
159,25450,2000,2000,2000,5000,5000,1,
160,0,0,0,0,0,0,0,
161,1345,1197,1152,495,1014,0,0,
162,6000,6000,4818,5000,5000,4500,0,
163,2500,0,0,0,0,0,0,
164,1088,5425,1000,2172,1084,1189,0,
165,0,1700,1400,1800,0,1800,0,
166,11637,12991,39278,6000,14837,931,0,
167,0,11323,0,4294,4700,4260,1,
168,0,0,0,0,0,0,1,
169,2990,3714,1500,1000,0,0,0,
170,64612,4000,910,9080,4839,5130,0,
171,12961,0,2403,407,3176,7336,1,
172,5800,5245,5200,5200,6500,7200,0,
173,0,0,0,0,0,0,1,
174,7782,6352,5883,6427,6500,5029,0,
175,2209,923,1751,573,873,984,0,
176,4000,4500,4000,4000,5000,5000,0,
177,5272,17571,0,0,549,0,0,
178,6159,1870,969,2500,0,0,0,
179,0,390,390,390,12190,780,0,
180,3664,3900,2868,3000,2000,2000,1,
181,553,0,202,11990,3359,1035,0,
182,342,0,0,0,0,0,0,
183,6000,7225,5000,5000,5900,4992,0,
184,1450,101505,3600,3700,3800,3500,0,
185,5000,7500,11000,3000,11365,7000,1,
186,11000,12003,11010,15000,10004,11004,0,
187,861,354,1,48,906,0,0,
188,2100,5000,1000,0,56,0,0,
189,0,0,0,0,2650,0,1,
190,2923,1700,0,3500,0,2000,1,
191,282,282,282,454,610,454,0,
192,0,234,4394,3164,5700,300,1,
193,0,734,0,390,988,1990,0,
194,742,1395,3261,0,0,0,0,
195,0,2600,635,657,750,501,1,
196,10261,17003,7657,7750,7861,8083,1,
197,2234,1135,1086,319,319,180,0,
198,1300,1128,500,500,1000,500,1,
199,1300,1082,2131,900,0,2200,1,
200,3967,4213,3741,2353,2471,2327,0,
201,0,909,390,29570,940,3482,0,
202,4000,2400,2000,2459,2100,5000,0,
203,1492,1661,1238,1031,1083,0,0,
204,3934,0,0,3353,764,35532,0,
205,2000,5000,1521,1595,2000,2716,0,
206,0,0,0,310,9500,800,0,
207,2100,1500,1500,500,1000,2300,0,
208,2701,1832,919,500,7068,9268,0,
209,10100,11422,11006,10011,9091,7026,0,
210,3278,1880,1650,10000,1000,700,1,
211,2000,1000,1633,2000,0,3000,0,
212,0,1310,816,0,0,0,0,
213,6200,7300,7510,5000,5000,5200,0,
214,417,3012,1927,1838,2472,2341,0,
215,1925,2152,800,610,620,900,0,
216,6601,6501,5201,5501,5282,5200,0,
217,15000,2024,5004,1000,1000,1000,0,
218,928,1000,1000,97,138,0,0,
219,650,325,325,325,325,325,1,
220,3000,3000,0,961,2000,2056,1,
221,11200,12112,11500,9600,10005,9651,0,
222,1296,1318,1303,682,703,696,0,
223,0,0,0,0,0,0,0,
224,1205,1535,1242,531,549,552,0,
225,1706,1738,1748,1130,1011,1016,0,
226,0,0,0,0,0,0,1,
227,8000,8500,7000,7000,6000,15000,0,
228,10036,15,5003,3003,2007,1007,0,
229,0,0,0,0,0,0,0,
230,1000,0,3300,0,1200,700,0,
231,4351,3520,1000,3272,11766,1740,1,
232,3046,1874,2000,1000,1000,199,0,
233,0,2090,0,0,2820,10540,0,
234,1000,390,390,390,0,780,0,
235,12082,2539,2250,0,2580,171,0,
236,0,0,0,0,650,0,1,
237,5002,1,5002,1001,3,733,0,
238,0,660,0,0,0,0,0,
239,1424,1256,190,13400,30,16447,0,
240,1526,4000,514,326,89599,3292,0,
241,784,1854,396,1950,1099,2040,0,
242,1166,1891,0,2231,165,1573,1,
243,2000,5500,0,0,0,3400,0,
244,1863,2886,840,2052,1443,1443,1,
245,8500,7800,6665,5670,4461,3100,0,
246,6000,5000,3400,3617,3600,3700,0,
247,1283,7024,7024,7024,7024,7024,0,
248,1223,1066,1032,0,0,0,1,
249,20091,30128,60183,2071,2045,2791,0,
250,3710,4000,4000,3500,7200,0,0,
251,1227,1073,230,241,138,1191,0,
252,0,0,0,0,0,0,0,
253,0,306,3670,1473,5555,1473,0,
254,42552,30084,29033,13120,59273,1241,0,
255,0,0,0,0,0,0,0,
256,2141,6433,0,2000,2000,2000,0,
257,1610,1088,7870,5988,342,7159,1,
258,10000,10000,7619,7000,8000,7000,0,
259,6000,10700,1600,0,2800,2500,1,
260,15000,3000,4100,3200,3264,3248,1,
261,3000,3031,3000,3000,2000,3000,0,
262,8533,8888,8006,6406,6606,7006,0,
263,2522,1261,0,1261,0,5242,1,
264,0,14130,7065,7065,7065,0,1,
265,15000,1558,310852,10000,5000,5000,0,
266,1008,1000,0,10790,7373,0,0,
267,9723,13298,27570,0,2919,96117,0,
268,217773,200304,2759,316,305,2596,0,
269,2281,1219,1164,556,595,480,0,
270,1396,0,1967,903,0,1100,1,
271,8008,10038,10029,1038,7000,0,0,
272,9203,0,0,0,0,8000,0,
273,7785,3000,0,0,8500,0,0,
274,10000,6247,6375,4468,1000,1306,0,
275,15532,0,11896,11008,0,23164,0,
276,8047,200222,1044,390,390,343,0,
277,8500,7000,6800,7000,6965,7500,0,
278,1165,1188,1199,436,452,458,0,
279,1200,1500,2000,1166,3500,1500,0,
280,2065,2000,2000,2000,3000,3000,0,
281,0,2706,6954,7002,241,13074,0,
282,2000,2000,2000,1000,800,700,0,
283,2500,2089,6000,200,0,0,0,
284,5140,3008,3000,6000,2000,3000,0,
285,0,3458,0,3312,0,0,0,
286,125000,6,4578,1427,87179,26291,1,
287,102,851,0,346,1592,1098,1,
288,10000,7000,10000,10000,10000,10000,0,
289,0,0,500,715,326,0,1,
290,1662,1696,1689,1016,893,1100,1,
291,20449,2499,2499,0,11071,780,0,
292,2000,2000,1600,5000,1000,600,0,
293,6600,6600,6000,6000,6000,5000,0,
294,0,0,0,0,0,0,0,
295,6029,5487,5043,10084,5059,5040,0,
296,2000,2000,2000,1000,2000,1000,0,
297,1200,3000,1500,1500,700,500,0,
298,6107,6000,4500,4500,4500,4500,0,
299,5937,5000,1417,0,0,0,0,
300,2406,2282,500,3586,7399,600,0,
301,466,4171,22137,20000,12198,0,0,
302,1187,1500,616,500,500,485,0,
303,6763,5717,0,10134,1045,6585,0,
304,4000,0,3000,4000,3000,4000,0,
305,1689,1693,1009,888,1045,1077,0,
306,6400,7000,5000,5200,5500,25000,0,
307,0,780,0,0,0,0,1,
308,5000,5012,5000,5006,10010,10000,0,
309,6892,6892,6282,2000,0,0,0,
310,4008,6696,5000,4192,4378,71100,0,
311,5000,5000,5000,5000,5000,5000,0,
312,0,3100,3000,4000,6000,0,1,
313,0,10200,10200,8725,9068,9068,0,
314,0,0,0,0,0,0,0,
315,0,0,0,0,0,0,1,
316,3000,3010,3004,3000,3000,3000,0,
317,327,1871,337,1996,0,3135,0,
318,2000,1500,1500,2000,1782,2000,0,
319,0,0,0,0,0,0,1,
320,278,278,278,278,428,278,0,
321,6699,0,0,0,0,0,0,
322,390,390,1052,0,2030,5485,0,
323,3000,1400,326,1755,0,39080,0,
324,10122,35206,40600,5000,10000,10000,0,
