ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE
0,100000,1,2,1,39,
1,130000,1,2,1,39,
2,250000,2,2,2,31,
3,30000,2,3,1,31,
4,180000,2,1,1,38,
5,80000,2,2,2,23,
6,80000,2,3,2,40,
7,280000,1,1,2,30,
8,80000,2,3,1,40,
9,90000,2,2,2,26,
10,500000,1,1,1,42,
11,160000,1,2,1,46,
12,530000,1,1,1,35,
13,360000,2,2,2,28,
14,130000,1,2,2,29,
15,10000,1,2,1,23,
16,140000,2,1,2,33,
17,30000,2,2,2,28,
18,20000,1,2,2,30,
19,50000,1,1,2,31,
20,50000,2,2,2,25,
21,80000,2,1,2,30,
22,210000,2,2,1,40,
23,50000,1,3,2,27,
24,200000,1,2,2,30,
25,270000,1,1,2,32,
26,50000,1,2,1,56,
27,110000,1,2,2,38,
28,130000,2,1,2,29,
29,330000,1,1,2,34,
30,300000,2,5,2,26,
31,200000,2,1,2,34,
32,90000,2,3,1,39,
33,200000,1,1,1,53,
34,200000,2,1,2,28,
35,200000,2,1,2,28,
36,90000,1,1,2,31,
37,90000,2,2,2,24,
38,250000,2,1,1,42,
39,160000,1,1,1,41,
40,50000,1,2,2,25,
41,100000,1,2,1,39,
42,480000,2,2,1,45,
43,160000,1,1,2,46,
44,480000,1,1,2,33,
45,440000,1,1,2,33,
46,120000,1,1,2,28,
47,50000,1,3,1,39,
48,30000,1,2,2,35,
49,20000,2,2,1,45,
50,360000,2,2,2,27,
51,200000,2,2,2,31,
52,150000,2,2,1,45,
53,10000,2,2,2,22,
54,110000,2,1,2,29,
55,90000,2,2,2,31,
56,200000,2,1,2,34,
57,230000,2,1,2,29,
58,150000,2,2,2,27,
59,310000,2,2,1,46,
60,20000,1,2,2,24,
61,640000,2,1,2,30,
62,100000,2,2,1,40,
63,50000,1,3,1,48,
64,160000,2,2,2,24,
65,410000,2,2,1,50,
66,40000,2,3,1,42,
67,280000,2,2,2,43,
68,340000,2,4,2,29,
69,140000,2,2,2,31,
70,120000,2,1,2,32,
71,330000,1,3,1,46,
72,310000,1,4,1,46,
73,130000,1,1,2,31,
74,390000,2,1,2,45,
75,320000,1,2,2,36,
76,40000,2,2,1,36,
77,150000,2,3,2,52,
78,60000,2,2,2,48,
79,170000,1,3,1,48,
80,50000,1,2,1,36,
81,360000,2,1,2,26,
82,100000,1,2,1,51,
83,80000,1,2,2,28,
84,160000,2,1,1,36,
85,50000,1,2,1,26,
86,20000,2,2,1,27,
87,200000,2,1,2,34,
