ID,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6
0,91300,0,0,0,0,0,
1,1240,0,1138,1138,2478,-3040,
2,59878,58348,59530,60668,59786,130890,
3,30057,29280,30206,30496,29731,29047,
4,0,0,0,0,0,0,
5,50884,48709,19010,21808,15995,12290,
6,38503,40118,41199,42264,43083,43471,
7,191493,187913,169223,153063,133490,130377,
8,22747,16260,6500,15525,0,0,
9,70206,71353,72707,74101,72818,73940,
10,3747,11652,32269,8974,1349,7867,
11,116988,114956,114531,106467,106967,109245,
12,339912,335081,333120,304353,282876,288945,
13,2500,2500,0,0,0,0,
14,88766,91466,93182,90851,96576,98452,
15,8679,8399,8101,8995,8216,7756,
16,10174,8651,19404,19498,9771,1106,
17,25150,26253,27064,27884,29190,25789,
18,17819,17244,18938,19836,19390,19664,
19,4560,7302,9011,11540,14180,15307,
20,8481,2158,3359,2158,2470,662,
21,0,1313,880,0,0,0,
22,12555,560,5287,2000,900,406,
23,50577,46529,46791,47922,49482,0,
24,179273,182624,188541,179380,41060,41258,
25,47116,47771,51414,52993,54962,56523,
26,38111,37934,16816,602,712,822,
27,95925,98331,100751,102496,80116,69391,
28,790,390,99235,98080,97224,97940,
29,316,310,6994,632,316,38277,
30,293880,242669,76777,34072,11632,15429,
31,0,0,0,0,0,0,
32,0,0,0,873,873,0,
33,513,974,4271,3696,0,2099,
34,140407,142965,188990,188742,187267,190249,
35,0,0,0,0,0,0,
36,32581,36525,35660,36436,33548,32061,
37,36179,36137,28400,28982,29782,24389,
38,249406,256400,13600,3274,2446,26710,
39,776,230,1350,1310,2374,1444,
40,17355,5934,16637,4000,0,0,
41,66177,70177,80914,86403,88972,91554,
42,1223,22308,6070,5924,547,1308,
43,1338,711,1941,1052,2004,931,
44,-897,-897,-897,-897,-897,-897,
45,1137,343,812,168,2653,2203,
46,8922,43070,47023,53576,57529,61392,
47,51400,0,0,0,0,0,
48,3462,-334,-1170,-1560,-1950,-1620,
49,9779,9368,4494,5405,1000,3383,
50,238971,245515,248969,253896,259403,264352,
51,1507,0,218,4360,0,0,
52,135260,144927,148990,70303,64749,66206,
53,14896,12011,7929,7693,6838,3486,
54,7397,-18,-18,-18,-18,-18,
55,23418,24443,26695,25967,26946,28346,
56,0,0,0,0,0,0,
57,31206,28395,29127,25446,26141,26852,
58,23165,24515,25592,24949,26846,26908,
59,43990,45872,47135,46944,49121,51337,
60,14195,15166,14638,15582,17809,17385,
61,116714,77893,60259,40539,26432,5018,
62,47243,48294,49213,49827,51005,53142,
63,10420,8451,9641,9468,9294,9263,
64,67018,67257,68939,72267,73602,75133,
65,358896,361330,360396,367893,375268,383121,
66,40285,40024,39706,36431,37154,37306,
67,31248,32081,32897,33350,34047,34525,
68,262621,167331,169625,104501,102700,103824,
69,137326,138119,137950,140254,139679,141748,
70,32051,39861,42957,43876,27231,249,
71,227389,228719,229644,227587,227775,228203,
72,15431,10414,21209,91238,18293,14332,
73,0,0,0,0,0,0,
