ID,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,label
0,0,689,0,0,0,0,1
1,0,1000,1000,1000,0,2000,1
2,1518,1500,1000,1000,1000,5000,0
3,2000,2019,1200,1100,1069,1000,0
4,2000,36681,10000,9000,689,679,0
5,2500,1815,657,1000,1000,800,0
6,55000,40000,38000,20239,13750,13770,0
7,380,601,0,581,1687,1542,0
8,3329,0,432,1000,1000,1000,0
9,0,0,0,13007,1122,0,0
10,2306,12,50,300,3738,66,0
11,21818,9966,8583,22301,0,3640,0
12,1000,6500,6500,6500,2870,0,0
13,3200,0,3000,3000,1500,0,1
14,3000,3000,3000,3000,3000,3000,0
15,0,1500,1100,1200,1300,1100,0
16,3200,0,1500,0,1650,0,1
17,10358,10000,75940,20000,195599,50000,0
18,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0
20,3000,1537,1000,2000,930,33764,0
21,316,316,0,632,316,0,1
22,2007,3582,0,3601,0,1820,1
23,19428,1473,560,0,0,1128,1
24,5757,0,5398,1200,2045,2000,0
25,1973,1426,1001,1432,1062,997,0
26,0,1000,0,500,0,1000,1
27,1300,1300,1000,1500,1000,1012,0
28,3415,3421,2044,30430,257,0,0
29,1500,1500,1000,1000,1600,0,0
30,17270,13281,15339,14307,37292,0,0
31,1718,1500,1000,1000,1000,716,1
32,3023,3511,3302,3204,3200,2504,0
33,4152,22827,7521,71439,981,51582,0
34,5006,31178,3180,0,5293,768,0
35,131,396,396,565,792,0,0
36,8026,8060,6300,6400,6400,6737,0
37,1500,1518,2043,0,47671,617,0
38,780,0,0,0,0,0,1
39,9075,0,9976,8000,9525,781,0
40,10000,7000,6000,188840,28000,4000,0
41,3000,4500,4042,2500,2800,2500,0
42,1500,2927,1000,300,1000,500,0
43,3000,3000,3000,4000,4000,3000,0
44,3000,5000,0,2000,3000,0,0
45,0,0,0,0,0,0,1
46,3000,0,16741,334,0,0,1
47,1013,1170,0,0,0,0,1
48,21540,15138,24677,11851,11875,8251,0
49,1318,1315,704,928,912,1069,0
50,0,3100,2000,0,1500,1500,1
51,2000,1606,1500,2000,1500,1000,0
52,7875,7600,11185,3544,464,0,0
53,1300,2010,1762,1762,1790,1622,0
54,1600,1718,1049,1500,2000,5000,0
55,3640,162,0,151,2530,0,0
56,8500,1500,7500,679,9000,2000,0
57,8083,7296,5253,4814,4816,3800,0
58,0,0,700,0,1200,0,0
59,17000,15029,30000,12000,12000,23000,0
60,1516,1300,1000,1000,2000,2000,1
61,4025,2095,1000,2000,3000,0,0
62,0,2700,0,2225,1200,0,1
63,1000,0,0,0,0,0,1
64,0,0,0,2353,0,0,0
65,0,0,8222,300,0,1000,1
66,2300,0,150,200,200,160,1
67,300,1159,2280,300,4250,909,0
68,0,0,20161,0,7319,13899,0
69,0,1200,1000,500,1000,0,0
70,0,390,390,390,390,390,0
71,2500,2500,0,4800,2400,1600,1
72,5818,15,9102,17,3165,1395,0
73,0,3155,0,2359,0,0,0
74,5713,23453,4314,80552,25949,2016,0
75,2850,0,610,630,1500,0,0
76,1759,1779,320,500,1000,1000,0
77,291,291,291,291,291,291,0
78,1686,1400,560,3000,1765,0,1
79,0,0,0,0,0,0,1
80,6400,7566,3000,960,1000,3000,0
81,4796,3400,3100,146900,196,2963,0
82,1576,1213,648,768,1140,0,1
83,10700,3,3050,3000,3200,2800,0
84,1676,1302,700,699,849,826,0
85,4400,3547,80000,4500,4800,4500,0
86,1170,0,0,390,390,390,1
87,1147,2000,2000,0,766,2303,0
88,40000,5000,1330,7095,1190,2090,0
89,0,1651,1000,2000,0,1500,0
90,6300,5500,5500,5500,5000,5000,1
91,0,3968,0,0,0,0,0
92,7555,0,0,0,0,0,0
93,1602,840,840,0,0,7736,0
94,1937,1301,682,690,816,835,0
95,3621,3597,1179,1112,1104,1143,0
96,8339,3394,12902,27000,0,68978,0
97,4031,10006,3266,4040,1698,800,0
98,1411,1194,379,281,321,197,0
99,1699,1460,626,1750,150,0,1
100,10212,850,415,100,1430,0,0
101,223,33178,1171,1197,1250,5000,0
102,16078,55693,17000,0,18000,24200,0
103,1767,1362,1002,840,995,904,1
104,0,5000,2511,6,3000,3000,0
105,0,0,0,0,26529,2000,0
