ID,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6
1,3913,3102,689,0,0,0
2,2682,1725,2682,3272,3455,3261
3,29239,14027,13559,14331,14948,15549
4,46990,48233,49291,28314,28959,29547
5,8617,5670,35835,20940,19146,19131
6,64400,57069,57608,19394,19619,20024
7,367965,412023,445007,542653,483003,473944
8,11876,380,601,221,-159,567
9,11285,14096,12108,12211,11793,3719
10,0,0,0,0,13007,13912
11,11073,9787,5535,2513,1828,3731
12,12261,21670,9966,8517,22287,13668
13,12137,6500,6500,6500,6500,2870
14,65802,67369,65701,66782,36137,36894
15,70887,67060,63561,59696,56875,55512
16,50614,29173,28116,28771,29531,30211
17,15376,18010,17428,18338,17905,19104
18,253286,246536,194663,70074,5856,195599
19,0,0,0,0,0,0
20,0,0,0,0,0,0
21,38358,27688,24489,20616,11802,930
22,316,316,316,0,632,316
23,41087,42445,45020,44006,46905,46012
24,5512,19420,1473,560,0,0
25,4744,7070,0,5398,6360,8292
26,47620,41810,36023,28967,29829,30046
27,-109,-425,259,-57,127,-189
28,22541,16138,17163,17878,18931,19617
29,650,3415,3416,2040,30430,257
30,15329,16575,17496,17907,18375,11400
31,16646,17265,13266,15339,14307,36923
32,30518,29618,22102,22734,23217,23680
33,93036,84071,82880,80958,78703,75589
34,10929,4152,22722,7521,71439,8981
35,13709,5006,31130,3180,0,5293
36,30265,-131,-527,-923,-1488,-1884
37,186503,181328,180422,170410,173901,177413
38,15054,9806,11068,6026,-28335,18660
39,0,780,0,0,0,0
40,498,9075,4641,9976,17976,9477
41,218668,221296,206895,628699,195969,179224
42,67521,66999,63949,63699,64718,65970
43,1877,3184,6003,3576,3670,4451
44,59504,61544,62925,64280,67079,69802
45,18927,21295,25921,25209,26636,29197
46,0,0,0,0,0,0
47,14028,16484,15800,16341,16675,0
48,4463,3034,1170,1170,0,0
49,22401,21540,15134,32018,11849,11873
50,17447,18479,19476,19865,20480,20063
51,37042,36171,38355,39423,38659,39362
52,61559,51163,43824,39619,35762,33258
53,13465,7867,7600,11185,3544,464
54,41402,41742,42758,43510,44420,45319
55,46224,34993,31434,26518,21042,16540
56,1905,3640,162,0,151,2530
57,16386,15793,8441,7142,-679,8321
58,175886,173440,172308,168608,132202,129918
59,1587,1098,782,1166,700,1414
60,400134,398857,404205,360199,356656,364089
61,22848,23638,18878,14937,13827,15571
62,70800,72060,69938,16518,14096,830
63,24987,24300,26591,25865,27667,28264
64,28718,29166,0,0,0,0
65,99,0,0,0,2353,0
66,152519,148751,144076,8174,8198,7918
67,2097,4193,3978,4062,4196,4326
68,300,300,1159,2280,300,4250
69,-190,-9850,-9850,10311,10161,7319
70,18565,17204,17285,18085,11205,5982
71,780,0,390,390,390,390
72,58267,59246,60184,58622,62307,63526
73,9076,5787,-684,5247,3848,3151
74,0,0,3155,0,2359,0
75,3048,5550,23337,4291,80153,25820
76,14619,17216,16642,16976,17332,18543
77,42838,37225,36087,9636,9590,10030
78,291,291,291,291,291,291
79,28387,29612,30326,28004,26446,6411
80,0,0,0,0,0,0
81,165254,157784,162702,69923,29271,29889
82,23411,27796,30400,33100,180000,196
83,26324,27471,28108,21993,19899,19771
84,131595,139060,126819,104430,104990,94058
85,48909,47863,21489,20414,19342,19482
86,130028,107808,71934,118418,118407,120418
87,390,1170,780,390,390,390
88,3826,4751,6604,8604,7072,766
89,81313,117866,17740,1330,7095,1190
90,8583,8303,9651,10488,12314,11970
91,138180,140774,142460,144098,147124,149531
92,7524,0,3968,3868,0,0
93,-2000,5555,0,0,0,0
94,880,1602,840,840,0,0
95,45648,46850,47214,19595,19209,19323
96,83725,85996,87653,35565,30942,30835
97,3967,8322,3394,6451,26370,9956
98,86009,86108,89006,89775,87725,40788
99,18722,18160,16997,13150,8866,7899
100,17973,19367,19559,18240,17928,150
